Destino|Categoria|Atraccion|Comentario|Calificacion|Anio
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Un lugar impresionante. Por mas que te lo cuentes debes ir y verlo. Recomendable 100%. No requiere equipacion especial.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|La caminera para llegar a la cascada es algo angosta pero se puede ir tranquilamente por ella. Hay que tener cuidado en una parte en donde cae la cascada ya que los escalones se ponen resbalosos. La vista se la cascada es hermosa .|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Hermoso, cansado de llegar y mucha gente, pero divino, un lugar chevere para fotos, no vale la pena ir en chivas x el tiempo|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Este lugar es hermoso y magico de verdad q tienes que ir y visitar este lugar es lo maximo la pase increible|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Un sitio que visitar! Alucinante! Hicimos un tour en chiva bastante divertido, fue la forma perfecta de acabar el tour. Verde alla donde mires. Sin duda uno de los rincones mas bellos de Ecuador.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Esta cascada es hermosa, tan poderosa y vibrante! La caminata es super linda, los paisajes hermosos, lo hare de nuevo!|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Un lugar hermoso e imponente, la sensacion de poder caminar tan cerca de la asombrosa caida de agua es alucinante. Un lugar al que debes ir al menos una vez en tu vida.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Hemos hecho los recollidos a ambos lados de la cascada. El que mas nos ha gustado es el viejo, tiene mas recorrido y la parte emocionante del final para los mas atrevidos, te empapas pero vale la pena estar justo detras de la cascada|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Sin duda un lugar que no hay que perderse para visitar. Hay dos accesos: El primero, se toma ingresando por la via principal de llegada a mano derecha en la pared donde esta pintado un papagayo, es el acceso mas cercano, te lleva por una caminata de 8 minutos al lado del Rio y …|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Tras 10 minutos de caminata llegas a impresionante cascada. Merece mucho la pena. Vale 2 dolares la entrada|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Impone sentir tan cerca el poder de la cascada, el paisaje es magnifico. Paseo facil tambien adecuado con ninios. La subida de regreso es fuerte pero corta.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Merece la pena hacer todo el recogido, es tranquilo, muy ordenado no es exhastivo, dicen que se lleva 40 minutos el regreso, nosotros hicimos en 25 minutos con pequenias paradas para descansar, por lo tanto no se quede aterrorizado cuando le hablen del tiempo|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Indescriptible con palabras el sonido y la fuerza del agua en el Pailon del Diablo, hay que vivirlo. Es muy seguro todo el recorrido aun para ir con ninias/os.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Es un lugar impresionante, la caminata al lugar es suave, ida y vuelta uno tarda 30 minutos incluyendo las fotografias. Imperdible.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|La naturaleza de banios definitivamentente roba el aliento es un lugar magico a pesar de las lluvias pude disfrutar|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Espectacular aventura en Banios de agua Santa con la mejor asesoria de Ivagatours y sus guias, definitivamente lo mejor!|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Digno de recomendar a los turistas mas exigentes del planeta. Es una experiencia maravillosa al contraste de la viva naturaleza entre la vegetacion y la roca de la montania.!|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Lugar unico en el mundo donde puedes apreciar una enorme cascada que te llenara de Adrenalina pura, recomendado.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Posee una caida de agua sencillamente descomunal y hermosa de apreciar increible la fuerza y la cantidad de agua de la cascada que abruma todos los sentidos. Los puentes son hermosos. El verdor de las plantas. Recomendado 1000%|5|2018
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Si bien, queda un poco retirado de Quito, vale la pena la experiencia, bajar la montania en un tren que lo hace en zig zag es increible. el pan relleno de queso que venden en el pueblo es delicioso!!!!|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Una experiencia una que sin duda hay que vivirla La cascada es magnifica Recomendacion usar poncho de agua|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Todo en Banios es espectacular pero El Pailon del Diablo esta de maravilla y mas despues de llover. Dos caminatas para acercarse, facil y muy facil, deben ir dispuestos a mojarse pero vale muchisimo la pena.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Excelente para compartir en amigos y familia. Una experiencia incleible. Excelente ubicacion. Hermoso paisaje|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|La cascada es espectacular fuimos con ninios pequenios sin embargo es posible hacerlo. Tienen que ir con zapatos comodos y ropa comoda.|5|2019
Banios|Cascadas‎|Pailon del Diablo (Devil's Cauldron)|Este lugar es increible; el camino donde puedes divisar la cordillera, la naturaleza y como el agua va cayendo por la cascada. Cuando lo visite empezo a llover por la epoca lluviosa en Ecuador (Diciembre - Abril) y lo que parecia que no podia mejorar lo hizo cuando bajaba al …|5|2019
