Destino|Categoria|Atraccion|Comentario|Calificacion|Anio
Puerto Lopez|Arrecifes‎|Isla de la Plata|Viaje en lancha de 40 minutos aproximadamente, trecking con alternativas de ruta segun la edad o capacidad del caminante. Bellos paisajes, alucinantes aves, guias conocedores y orgullosos de la bondad de su flora y fauna. La isla es hermosa y bien preservada, cuenta con …|5|2019
Puerto Lopez|Arrecifes‎|Isla de la Plata|Genial el tour a la Isla de la Plata, donde vimos Piqueros de patas azules y fragatas. Tambien avistamos ballenas jorobadas, absolutamente alucinante!!!|5|2019
Puerto Lopez|Arrecifes‎|Isla de la Plata|Un lugar excepcional en el mundo. Paisajes hermosos. Ballenas desde el mirador por doquier. Piqueras patas azules abundantes. Fragatas muchisimas. Algunas especies mas muy simpaticas. Clima muy rico. El snorquel expectacular. Te reciben tortugas en la bahia. El mayor banco de …|5|2019
Puerto Lopez|Arrecifes‎|Isla de la Plata|Fui con amigos a Isla de la Plata y avistar ballenas. La experiencia es muy recomendable, pudimos ver varias ballenas machos saltando como parte de su ritual de apareamiento. Ademas recorrimos la Isla de la Plata donde vimos los pajaros Piqueros de Patas Azules y llegamos hasta …|5|2019
Puerto Lopez|Arrecifes‎|Isla de la Plata|Desde Puerto Lòpez, en temporada, se puede tomar una lancha para el avistamiento de ballenas jorobadas. Un espectàculo sorprendente y ùnico. No puedes perderte mirar las acrobacias de estos cetàceos gjigantes que cantan y juegan en el mar en una sinfonìa natural con acordes de …|5|2018
Puerto Lopez|Arrecifes‎|Isla de la Plata|"Este tour hay que hacerlo! En Ecuador lo denominan ""el Galapagos de los pobres"" pero siento que no le hacen justicia con ese nombre porque es hermoso!! Se inicia con un viaje en yate hasta la isla y luego una caminata larga (aproximadamente 2 horas) a la que hay que llevar …"|5|2019
Puerto Lopez|Arrecifes‎|Isla de la Plata|Viaje placentero. Hacia mucho calor, pero logramos subir para apreciar las maravillas, que te regala la naturaleza Vimos patas azules pichones, fragatas y tortugas gigantes Un lugar increible. No se lo pierdan|5|2019
Puerto Lopez|Arrecifes‎|Isla de la Plata|Salimos desde Puerto Lopez donde compramos el tour, es un lugar encantador para la observacion de especies como los piqueros de patas azules y las fragatas. Recomiendo llevar tu propio equipo de snorkel ya que el que proporcionan las agencias no es muy bueno, los lentes son muy …|5|2018
Puerto Lopez|Arrecifes‎|Isla de la Plata|Fuimos con poca expectativa porque estaba lloviendo y nos dijeron que habia pocas posibilidades de ver ballenas, el tour no es de lo mas barato pero es razonable para un dia entero de salida. El viaje en bote es largo pero entretenido, ya llegando a la isla vimos las primeras …|5|2018
Puerto Lopez|Arrecifes‎|Isla de la Plata|Un bellisimo lugar, llamarlas las mini Galapagos es exagerar. No ves tortugas ni iguanas. Igualmente tiene hermosos atractivos , ves muchos piqueros de patas azules, fragatas. Hay un sector con coral en el que puedes hacer esnorkel, veras tortugas marinas gigantes, mantarrayas y …|5|2018
