Destino|Categoria|Atraccion|Comentario|Calificacion|Anio
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Llevad agua, mucha proteccion solar, gorro y toalla. La caminata hasta llegar son 40 minutos de sendero a pleno sol. Es gratuita la entrada y visita obligada.|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Hermosa playa, tan linda que fuimos dos dias. La primera caminando 1 hora y media desde puerto Ayora y la segunda en lancha desde el puerto. 10 dolares por persona la ida y otro tanto la vuelta. La lancha estaba regresando a las 12, 2 y 5 de la tarde. Si llegas caminando primero …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Aunque hay que caminar aproximadamente 30 minutos para llegar, el tiempo y la caminata lo vale! Es una playa hermosa donde se puede pasar el dia con amigos.|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Una de las mejores playas de mi vida, volveria muchas veces para compartir con la naturaleza. De locos|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Desde Puerto Ayora y caminando por un sendero hecho al efecto y que dura unos 45/50 minutos, sendero por lo demas muy bonito, pues puedes apreciar la flora de la zona que es espectacular, llegas, de repente a esta increible y bellisima playa de Tortuga Bay, de arenas finisimas y …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Tortuga Bay merece la pena conocer. La playa es de arena blanca y el recorrido para llegar hasta ahi si vas caminando desde Puerto Ayora es lindo porque esta rodeado de entorno natural y es super tranquilo. Es el plan perfecto para desconectarte, tener un dia de sol y mar. …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Una de las playas mas lindas que he visitado Para descanzar tomar sol o nadar y claro cpn la.presencia de animales|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|excelente servicio y atencion que ofrece donde se puede disfrutar tanto de las flora, faunas y de los bonitos paisajes|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|La play Tortuga Bay si lleno mis expectativas, arena blanca, playa inmensa, muchas iguanas, un verdadero paraiso natural. Ahora entiendo porque tanta gente visita las Galapagos.|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Ir a Galapagos es toda una aventura desde que empieza el vuelo, no debes olvidar comprar la tarjeta migratoria en el aeropuerto! Ya faltando poco para llegar, a lo alto puedes devisar a las islas en todo su esplendor ES MARAVILLOSO!!! Una vez en el aeropuerto debes pagar por el …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Puedes ir caminando por un precioso sendero empedrado desde el centro de STA. Cruz o tomar una lancha rapida o como parte de un tour . Nosotros lo hicimos caminando, son 40 min. y lo disfrutas si amas caminar y apreciar las plantas y cactus gigantes. La playa no es grande pero …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|El camino a tortuga Bay es de aproximadamente 30 minutos. Para quien no este de animo.para una caminata, desde puerto Ayora, pyede contratarse un taxi acuatico hasta la playa de Tortugas, el costo aproximado es de usd 10 por tramo por persona (ida y vuelta $20). Es importante …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Tuve la oportunidad de ir con mis familias para las vacaciones de abril, luego de recorrer a pie 2.5 km llegamos a la playa mas increible, con una arena blanca que no se pega a tu cuerpo, el agua cristalina donde se podian ver mantarrayas, peces de todos los colores e iguanas. …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Tortuga Bay es un lugar que puedes recorrer sin necesidad de contratar un guia. Tiene un sendero lindo para llegar o lo haces en lancha sino quieres caminar. Tiene dos playas. Playa brava y playa mansa. En la mansa me quede porque andaba con mi hijo. Ese dia si salio el sol hay …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|El largo trayecto de piedra que parece no acabar luego de zigzagueantes vueltas, subidas y bajadas se abre frente al pacifico de una manera inolvidable.|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|muy recomendado visitar puede ir caminando hasta la entrada del recinto no queda muy lejos desde puerto ayora. una ves anotados en el control del recinto es una caminata de 35 a 40 minutos aprox. es imposible perderse ya que es un solo camino bien hecho.. recomiendo que vayan en …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Tortuga bay es una de las playas tipicas de la isla santa cruz, con arena muy fina y clara y aguas turquesa azulinas. Es muy tranquila, vale la pena visitar.|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Para llegar a Tortuga Bay debes caminar entre 30- 50 minutos dependiendo de tu paso. En el camino te encontraras con pajaritos, lagartijas e iguanas. Existen taxis acuaticos en caso de que no quieras caminar (ida o regreso cualquiera de las dos). Al llegar vas a ver la playa de …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Una hermosa y solitaria playa en la isla Santa Cruz. Se puede llegar en lanchas motorizadas o caminando. Yo recomiendo caminar. Es una hora por un sendero peatonal entre una maravillosa y curiosa vegetacion autoctona de Galapagos. Estando en la playa tus companieros seran las …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Hermosa playa de agua calidas... Se llega luego de una caminata de 30.minutos a playa brava, elegida por los surfistas... Luego de caminar por 10 min playa mansa una bahia pequenia ideal para hacer snorkel y disfrutar de la sombra de los manglares.|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Tortuga bay esta compuesta por Playa Brava y Playa Mansa. Se llega a ella caminando desde Puerto Ayora. Son casi 3 Km de caminada. Playa Brava es para disfrutar un rato, porque la marea es fuerte y estan alli los surfers. Caminandola hasta el final, se llega a Playa Mansa...una …|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Despues de una caminata se llega a una playa muy hermosa. Para baniarse hay que seguir un trecho mas. Muchas iguanas, el mar muy calmo se puede hacer snorkel y kayak|5|2019
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|"Sea ""La Brava"" o Sea ""La Mansa"" ambas son hermosas playas a decir verdad las mejores que tuve oportunidad de visitar en el Archipielago. Desde Puerto Ayora puedes acceder caminando a la entrada del Parque Nacional son pocos minutos, despues recorres un sendero bien delimitado …"|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Una playa en la que hacer snorkel con todo tipo de animales, un placer para la vista y desde luego, un MUST si estas en Santa Cruz! Un camino bonito y tranquilo le separa de puerto ayora, unas vistas espectaculares y una playa larga y tranquila. Es un plan gratuito y si eres …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Un sitio perfecto para pasear, correr, leer, tomar el sol y surfear... Y para ver galapagos e iguanas|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Me gusto un monton tienes que visitar esta playa si vas a Sta Cruz. Es facil de llegar no tienes que ir con guia puedes hacer snorkel, quemarte un nm poco, leer un libro y siempre puedes ver algun animal que te llame la atencion.|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|La caminata de ingreso que es aprox 25 minutos tiene su recompensa; una playa extensa de arena blanca y muchas iguanas para caminarla y disfrutar del paisaje y del clima. Al final de la misma esta el acceso a la playa mansa que es la sugerida para nadar, tomar sol, hacer snorkel …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Simplemente una playa de ensuenio naturaleza en estado puro no apto si deseas una playa de diversion, ruido y comodidades.Es el encuentro con la naturaleza y pasar un dia relajado y tranquilo disfrutando sus hermosa arena fina y blanca y refrescandote en sus cristalinas aguas …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Es una playa que tiene arena blanca y el mar es turquesa es lugar para disfrutar y relajarte por la playa encuentras iguanas .!!|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Hay que caminar mucho para llegar por un sendero senializado o se puede acceder por agua. La playa es hermosa, pero no cuenta con sanitarios ni nada para pasar el dia, hay que llevar todo. Asi y todo, con su color y sus especies unicas, es un lugar soniado. Altamente recomendable!|5|2017
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Esta es la mejor playa en Santa Cruz, a pesar de que el trayecto es bastante largo, se puede ir por otros medios, por ejemplo, en lancha, contratando los servicios en las oficinas del malecon, con un costo de 10 dolares. El arena es totalmente suave y el agua cristalina. Esta …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Tras una caminata de aproximadamente dos kilometros, arena blanca y una hermosa y amplia playa esperan por ti, se puede hacer algo de surf y a un costado esta playa mansa, un lugar sin olas para disfrutar con los ninios y relajarte|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Por su ubicacion, la caminata para llegar, el paisaje que rodea la caminata y el que se encuentra al llegar, el agua y la fauna (sobre todo la marina), la flora que rodea el sendero (el cual es sumamente comodo para todas las edades), es el perfecto resumen de todas las bellezas …|5|2017
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Para llegar hasta la Playa de Tortuga Bay debes caminar, subir escalones y sudar un poco pero al final del recorrido no puedes menos que agradecer. Playa brava es la primera playa que divisas, para donde veas miras arena finisima, blanca y delicada, lamentablemente es una playa …|5|2018
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Playa de arena blanca hermosa, con muchas iguanas muy amigables. Para llegar se debe caminar una media hora pero vale la pena.|5|2017
Santa Cruz|Playas‎|Galapagos Beach at Tortuga Bay|Esta playa queda a 30 minutos caminando desde un punto al que podes llegar en bici o taxi. Es larga la caminata, pero se pueden ver tortugas en el camino! una vez que llegas... es un paraiso sin fin. De un lado es playa brava (con olas espectaculares para surf), no tiene nada de …|5|2018
