"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Viaje en lancha de 40 minutos aproximadamente, trecking con alternativas de ruta según la edad o capacidad del caminante. Bellos paisajes, alucinantes aves, guías conocedores y orgullosos de la bondad de su flora y fauna. La isla es hermosa y bien preservada, cuenta con …"|"vverab77"|"5"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Genial el tour a la Isla de la Plata, donde vimos Piqueros de patas azules y fragatas. También avistamos ballenas jorobadas, absolutamente alucinante!!!"|"Taeser"|"5"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Vale la pena visitar esta isla. No te esperes mucho del snorkeling, podrás ver algo, pero te tendrás que esforzar."|"Xavier C"|"4"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Un lugar excepcional en el mundo. Paisajes hermosos. Ballenas desde el mirador por doquier. Piqueras patas azules abundantes. Fragatas muchísimas. Algunas especies más muy simpáticas. Clima muy rico. El snorquel expectacular. Te reciben tortugas en la bahía. El mayor banco de …"|"Chasky kfe. Break fast.lunch.market"|"5"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Fui con amigos a Isla de la Plata y avistar ballenas. La experiencia es muy recomendable, pudimos ver varias ballenas machos saltando como parte de su ritual de apareamiento. Además recorrimos la Isla de la Plata donde vimos los pájaros Piqueros de Patas Azules y llegamos hasta …"|"IMTRO"|"5"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Flora y fauna muy exótica y exclusiva de lugares privilegiados de la costa de Pacífico sudamericano como las islas Galapagos, pero muy cerca del continente. La Isla de la Plata es un lugar al que se llega viendo ballenas y tortugas marinas y luego, desde altos acantilados, …"|"ferpinso56"|"5"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"La Isla de la Plata es una visita obligatoria cuando llegues a Puerto López. Ballenas jorobadas (Junio a Septiembre), piqueros patas azules, fragatas, pájaros tropicales, tortugas marinas y mucho más..."|"erichviajero"|"5"|"2018"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Si estás en uerto López y quieres conocer las aves, las tortugas, hacer snorkeling y caminar, esta es una excelente opción. No olvides llevar gorro y agua y para el viaje de regreso camiseta o camisa. En junio, julio y agosto además de que el calor es menor en la isla, existe …"|"Carlos Santana"|"4"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Una isla preciosa avistamiento de ballenas espectacular el precio lo vale ya que es muy bajo para la clase de espectáculo que da la naturaleza"|"Carlos Picado"|"5"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Muy lindo paseo. Se camina bastante bajo el sol. Hay que llevar agua. Descubrí piqueros patas azules. Está lleno!"|"Fernando Vega"|"3"|"2019"
"Puerto Lopez"|"Arrecifes‎"|"Isla de la Plata"|"Desde Puerto Lòpez, en temporada, se puede tomar una lancha para el avistamiento de ballenas jorobadas. Un espectàculo sorprendente y ùnico. No puedes perderte mirar las acrobacias de estos cetàceos gjigantes que cantan y juegan en el mar en una sinfonìa natural con acordes de …"|"almardato"|"5"|"2018"
