"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Vimos los osos en Maquipucuna!!! Residimos en Quito y por varias razones no conseguíamos cuadrar las vacaciones con la temporada de osos. Este finde por fin lo conseguimos y fue una experiencia inolvidable. Los caminos están muy bien conservados y esto hace que sea una …"|"SILVIA Ramos"|"5"|"2019"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"un lugar rodeado de naturaleza pura, con bosques húmedos, flora espectacular, aves únicas, mariposas; senderos para caminatas cortas y largas"|"Ramiro M"|"5"|"2018"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Es la meca del turismo ecológico ; buena atención , muy aseado , precios razonables. Hay que realizar esta visita con personas que le guste compartir con la naturaleza mano a mano"|"Patricio G"|"4"|"2017"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Maquipucuna es una reserva que parece intocada de bosque nuboso. Estuvimos 3 días y 3 noches en julio. Nos trajeron desde el aeropuerto de Quito, tuvimos un excelente guía para nosotros durante los tres dias, Arsenio, que nos guió por los senderos, nos mostró los pájaros y nos …"|"Paola S"|"5"|"2018"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Fuimos en familia, con niños entre los 12 y 15 años a caminar por los senderos de este lugar. Caminamos por un sendero llamado humedal que dura un par de horas en cubrir, el lugar es realmente hermoso y el bosque aunque secundario en esa parte muy bien conservado y es una …"|"Augusto E"|"2"|"2018"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Fue un viaje anhelado por muchos años y finalmente se dio la oportunidad, el acceso es bueno, la información y el servicio por parte de la organización es excelente, me sentí bien a gusto con el servicio, los senderos(Guia Mauricio) la alimentación(Mirma) y las instalaciones y …"|"Gloria JH"|"5"|"2018"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Esta un poco lejitos de Quito, cerca de una hora, pero merece la pena cada minuto que tardes en llegar allí. Es una zona de selva donde observar gran cantidad de aves y sobre todo de orquídeas, mi flor favorita."|"arantzacampos"|"5"|"2016"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Visitamos la Reserva Maquipucuna con mi esposa y nuestro hijo de 6 Años, en lo que fue una muy buena experiencia de montaña, contamos con la suerte de poder entrar en una reserva bastante bien mantenida en donde se puede ver claramente un gran compromiso conservacionista. La …"|"Juan Carlos R"|"4"|"2017"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"A quien le interese poder ver a los osos de anteojos desde muy cerca, Maquipucuna es el lugar idea. Fue una experiencia inolvidable poder verlos de tan de cerca, siendo osos que ya están en extinción nos sentimos privilegiados observa los. Cuando estuvimos allá también estaba un …"|"Kockott3"|"5"|"2017"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Hemos pasado tres dias fascinantes en la Reserva Maquipucuna. Alucinante avistaje de aves y osos de anteojos en la grata compañia de nuestro guía Arsenio. La comida casera con productos regionales. Nuevos y exquisitos sabores con el trato privilegiado a mi esposo intolerante …"|"ceciliaargent"|"5"|"2017"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Me encantó el lugar, muy bien organizado. Se respira paz en el ambiente. Ideal, cerca de Quito, un completo santuario natural. Encontré información de como llegar en un blog en internet, en la página propia del sitio no encontré datos útiles."|"jessrrvv"|"4"|"2016"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Todo parece muy bonito, sin duda. Solamente que no encuentro informacion concreta de como llegar a la Reserva Maquipucuna! desde Quito Eduardo"|"Eduardo M"|"5"|"2016"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"habia ido en colegio hace un buen tiempo pero fui ahora y como ha cambiado. el lugar esta espectacular, super acogedor buenas habitaciones y las caminatas excelentes."|"jealbornoz"|"5"|"2015"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"He ido varias veces a Maquipucuna y nunca deja de sorprenderme. Es un lugar de paz, tranquilidad, armonía y buena energía. La naturaleza es preciosa. Muy recomendable."|"maliespinosa"|"5"|"2015"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Un proyecto para hacer de la selva y sus habitantes naturales, a los protagonistas del territorio, sin desmerecer en nada a los visitantes que llegamos hasta ahí para disfrutarlo. Inclusive, parece una influencia muy positiva para toda la zona en que se inserta. Mas que …"|"Guillermo M"|"5"|"2015"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Reserva Ecológica fácil de llegar en auto o en transporte público. Zapatos cómodos, ropa ligera, poncho de agua, buena cámara de fotos y toda la buena energía para caminar mucho y disfrutar de este paraíso lleno de distintos sonidos de aves escondidas entre una gama de verdes …"|"LulaPo"|"4"|"2015"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Unas de las reservas mas importantes de la zona de Mindo, la fauna es hermosa y una flora exotica, que te invita a pasar todo un fin de semana, disfrutar de sus rios caudalosos, practicar turismo de salud muy recomendable, y la comida expectacular."|"AlexeiDurruthy"|"5"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Este es un lugar paradisiaco, muy verde, lleno de vegetación, también ríos, si conoces la reserva vas a caminar mucho a si que debes ir cómodo, lleva repelente, hay mosquitos."|"Churoloco"|"5"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Ante todo aprecio mucho el esfuerzo de los miembros de esta fundación por mantener este bosque, y visitarlo es apoyar esta labor que como ecuatorianos nos corresponde...diferentes senderos que nos hacen descubrir especies propias de la zona, la diversidad de formas y colores, …"|"Grace V"|"4"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"increible experiencia, muy bonito la verdad... Para paseo con amigos o familia... tranquilo y mucha paz"|"Jorge C"|"4"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"me gustan las excursiones que organiza el hotel, los guias estan preparados y conocen sobre las aves del lugar, las instalaciones del hotel podria estar mejor"|"Paola E"|"5"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Si necesitas relajarte y cambiar el aire , nada mejor que participar de una caminata por el parque y oir el canto de los pajaros ."|"01hectorr"|"4"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"La reserva es un lugar fabuloso, para respirar aire puro en un clima subtropical y mirando vegetación y aves por senderos bien definidos. Lugar recomendado"|"MarceloFernando"|"4"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Es un lugar chevere en el cual puedes respirar aire completamente puro, puedes caminar por varios senderos y conocer la vida silvestre en su maxima expresion"|"Rene E"|"4"|"2015"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Un lugar hermoso la comida espectacular, loz masajes de chocolate increíble dejan la piel muy suave rodeado de naturaleza los guías muy amables lo mejor cerca de Quito"|"Made A"|"5"|""
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Hay una gran cabaña, fantásticos senderos y por mucho, el lugar con la diversidad biológica más alta que he visto en mi vida."|"Gustavo M"|"5"|""
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Si bien el lugar está rodeado de naturaleza y sirve para despejar la mente rodeado de pajaritos, los lugares están poco mantenidos y a los senderos parecen no haberlos modificado en años. La señalización no es completa y a veces da la sensación que uno está perdido. Siendo un …"|"Anabella C"|"3"|"2015"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Hermoso lugar que no podemos dejar de visitar. Para quellos amantes de la naturaleza constituirá un lugar emocionante y espectacular. Recomendado !!!!!!"|"amalitol"|"5"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Naturaleza en todo su esplendor ! Disfrutamos muchisimo y las instalaciones son muy buenas. El servicio muy amable y recomendable."|"Ana Carolina I"|"5"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"Este lugar me encanto. Fuimos con unos amigos acampar y pasamos de lujo! hay un lugar en donde hacer parilladas, hay baño y es completa la zona de acampar. Estas al aire libre y rodeada de naturaleza. Me encantó la experiencia. Muy recomendable."|"Daniela B"|"4"|"2014"
"Quito"|"Bosques‎"|"Maquipucuna Reserve"|"es una reserva super bajo perfil, tienes que llegar y pedir el almuerzo con anticipación. vale para ir a camniar por la selva en el dia, jugar en los ríos y quien sabe hasta quedarse"|"jealbornoz"|"5"|"2014"
