"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"El sitio es realmente bonito, y la ruta es es sencilla y bien habilitada para todos los públicos, pero la gran cantidad e turistas que lo visitan le quita un poco de encanto"|"Xus-Arnes"|"4"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Una caminata maravillosa, el clima fresco y definitivamente te mojaras. La mejor opción es llevar ropa como de playa y si el clima está frío pues cambiarse luego. Nosotros tomamos un bis para llegar desde Baños, salen cada 15 min y el último que regresa a Baños es a las 7:30pm. …"|"Lilian C"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Es un lugar al que se debe ir con ropa deportiva y zapatos cómodos, con niñ@s pequeñ@s puede tomar hasta 2 horas en total, si desean ingresar bajo la cascada es recomendable llevar impermeables."|"Shirma"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Fuimos con niños de 10 y 6 años. Llegamos hasta el mirador de la cascada. Los niños disfrutaron la caminata. La vista es espectacular."|"fabo717"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Vale la pena conocerlo, es impresionante la caída de agua y la experiencia, muy recomendado! Si estás en baños, tienes que ir!"|"Sebastian M"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Un lugar impresionante. Por más que te lo cuentes debes ir y verlo. Recomendable 100%. No requiere equipacion especial."|"Ferke1"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"La caminera para llegar a la cascada es algo angosta pero se puede ir tranquilamente por ella. Hay que tener cuidado en una parte en donde cae la cascada ya que los escalones se ponen resbalosos. La vista se la cascada es hermosa ."|"Ismaira Rivera"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Hermoso, cansado de llegar y mucha gente, pero divino, un lugar chévere para fotos, no vale la pena ir en chivas x el tiempo"|"Gabriela G"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Este lugar es hermoso y mágico de verdad q tienes que ir y visitar este lugar es lo máximo la pase increíble"|"Flor C"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Un sitio que visitar! Alucinante! Hicimos un tour en chiva bastante divertido, fue la forma perfecta de acabar el tour. Verde allá donde mires. Sin duda uno de los rincones más bellos de Ecuador."|"Sonia M"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"De la excursión de las cascadas este fenómeno de la naturaleza es lo mejor. Es impresionante la majestuosidad de esta caída de agua. Es de las cosas más bellas que he visto en mi vida y considero que Ecuador sabe sacar provecho de sus atracciones naturales. Todo muy bien …"|"diegoc777"|"5"|"2018"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Impresionante salto de agua que está cerca de Baños y que se produce en un doble salto del rio Verde en una gran y súbita quebrada basáltica y que hace que caiga en un tremendo salto de decenas de metros. Se puede descender paulatinamente y ver, en determinados balcones hechos …"|"gabrielBZ"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Una de los mejores lugares para ver en los alrededores de Baños. Si realizas el recorrido de la Ruta de las Cascadas en bicicleta por cuenta propia, llegar al Pailón del Diablo es la meta de la travesía y la recompensa tras pedalear varios kilómetros por la carretera. Hay dos …"|"AlphardV"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Realmente es maravilloso!!! La naturaleza es lo máximo y lo más grande de verdad increíble, todo super bien señalizado y respetando a la naturaleza, lo ame!!!! Volveré 💗"|"Natalia Luna"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Se encuentra a mas o menos 10 cuadras del ingreso. llegar es sencillo pues el sendero es excelente con escaleras largas todo en descenso, al regreso por supuesto hay que subir en forma continua, pero vale la pena el esfuerzo. La vista del salto es excelente asi como el lugar …"|"Ricardo H"|"4"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Esta cascada es hermosa, tan poderosa y vibrante! La caminata es super linda, los paisajes hermosos, lo hare de nuevo!"|"JulieCesar M"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Un lugar hermoso e imponente, la sensación de poder caminar tan cerca de la asombrosa caída de agua es alucinante. Un lugar al que debes ir al menos una vez en tu vida."|"Paloma Z"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Hemos hecho los recollidos a ambos lados de la cascada. El que mas nos ha gustado es el viejo, tiene mas recorrido y la parte emocionante del final para los mas atrevidos, te empapas pero vale la pena estar justo detras de la cascada"|"Ainhoa A"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Sin duda un lugar que no hay que perderse para visitar. Hay dos accesos: El primero, se toma ingresando por la vía principal de llegada a mano derecha en la pared donde está pintado un papagayo, es el acceso mas cercano, te lleva por una caminata de 8 minutos al lado del Río y …"|"acinorev1512_c"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Tras 10 minutos de caminata llegas a impresionante cascada. Merece mucho la pena. Vale 2 dolares la entrada"|"andreucueva"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Precioso impresionante nadie puede perderse de conocer esta maravilla esta cerca de Baños de Ambato incluso van desde Baños en Bicis"|"Javier Ugalde"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Es una belleza observar esa cascada, hay senderos, un puente colgante, artesanías, pasajes por dentro de unas cuevas que hay que hacerlo casi gateando. Una gran aventura."|"Andrea Paola N"|"5"|"2019"
"Baños"|"Cascadas‎"|"Pailon del Diablo (Devil's Cauldron)"|"Sin duda uno de los lugares más bellos que fuimos en Ecuador. Parece sacado del.señor de los anillos"|"Loreto O"|"5"|"2019"
