"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Es una experiencia con la historia geológica del mundo, bello además, fresco, y barato... Se puede tomar el tiempo para disfrutarlos."|"Javier Numan"|"5"|"2019"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"En nuestra visita al Rancho el Chato nos llevaron a ver túneles de lava que hay en dicha zona. Están bastante iluminados u tanto su entrada, recorrido, como salida con un mínimo de cuidado y buena forma física, se pueden hacer fácilmente. En sí son o es un tubo por donde corrió …"|"gabrielBZ"|"4"|"2019"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"El túnel de lava es algo impresionante que no habíamos visto nunca. Tuvimos la suerte de verlo en invierno con las estalactitas y estalagmitas. Cuando apagan la luz y todo queda en silencio es una sensación única! El tema es que solo se pueden visitar 250 metros del tunel. Te …"|"Paula Cardenas"|"3"|"2019"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Una gigantesca caverna natural de más de 2000 metros corre bajo la parte oriental de la isla Santa Cruz. 800 están abiertos al público para hacer una escalofriante caminata, si no tienes claustrofobia. La señora de la entrada, doña Lili, es un encanto, y está dispuesta a …"|"David C"|"5"|"2018"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Me parece una visita muy interesante, lo recorrimos después de visitar el rancho de las tortugas... se incluye en el trayecto junto a los cráteres gemelos.... Es un recorrido simple con alguna dificultad superable facilménte.... Sin embargo el atractivo para mi es poder recorrer …"|"vicentemmm"|"5"|"2018"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Pasamos directo del aeropuerto, negociamos con el taxista para no tener que volver y pagar 40 dólares extra, la primera parada fue los gemelos y luego una caminata por el bosque de escalesias para luego ir al Rancho el Chato, dentro está el túnel de lava (ropa y zapatos cómodos …"|"Mitzi B"|"5"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Son aproximadamente 400 metros de cavernas que moldeo la lava a su paso, quedando un tunel de pelicula, queda muy cerca del rancho primicias asi que facilmente se pueden hacer las dos excursiones en el mismo viaje"|"Eduardo Z"|"5"|"2018"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Sorprende pensar que por este túnel pasó la lava de volcanes, y se haya perpetrado en el tiempo. Si bien está iluminado con luz eléctrica, es bastante oscuro, y no tiene más atractivo que ver en sus paredes el vestigio del paso de la lava."|"Andrea M"|"3"|"2018"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"es impactante recorrer en su interior debajo de la tierra la lava del volcán, es un lugar húmedo, frío y oscuro, su trayecto es corto."|"Maria B"|"5"|"2018"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"La isla de Santa Cruz se encuentra en medio del archipiélago, cubriendo un área de 986 kilómetros cuadrados, y teniendo su mayor altitud a los 864 metros sobre el nivel del mar. Este lugar es un volcán que está durmiendo y que hizo explosión por última vez hace mas de un millón …"|"juanpfcebrian"|"4"|"2018"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Cerca del Rancho Primicias, se puede entrar en este túnel de lava. Nuestro guía nos dió todos los detalles, cómo se formó, el sentido del recorrido de la lava... Hay poca luz, hay que acostumbrar a los ojos. No recomendable sin calzado deportivo y menos si se tiene alguna …"|"mvalls5"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Interesante visita, lindas fotos, necesario ir con ropa deportiva y zapatos aptos, no lo recomiendo para gente con movilidad reducida."|"Paula M"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Me pareció muy atractiva la posibilidad de transitar los túneles sin ningún tipo de luz artificial, la natural solo ilumina un tramo corto,luego mucha oscuridad No se puede evitar la experiencia si se visita ""el chato"""|"Rosana B"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Es un buen lugar para visitar, obviamente no es un principal destino, pero es bonito para una caminata y conocer galapagos dentro de la tierra. Puedes llegar de diferentes formas, yo pague un taxi $40.00 el mismo que nos llevaba a los gemelos, túneles y rancho. Como éramos un …"|"Vale Sofia C"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"increible experiencia caminar por estos túneles de lava. Es para no perderselo. Llevar ropa cómoda y calzado deportivo"|"gracielarojo"|"5"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"túnel de paredes de lava formado como consecuencia del enfriamiento de la misma...muy linda visita que complementa la visita a las tortugas terrestres...puede cruzarse a lo largo de mas de cien metros(creo) pero con hacer la primera parte es suficiente y mas seguro"|"Piconvpa"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"una caminata tranquila por túneles formados por lava volcánica bajo el nivel del suelo, en algunos tramos se reduce el paso y hay que pasar arrastrado( es solo un metro)"|"Gustavo Victor G"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Fui como parte del tour luego de la visita a las tortugas gigantes. Se cruza por a través de los túneles que están poco iluminados, y son bastante húmedos. Es una caminata de menos de media hora, que implica en momentos tener que trepar a la roca o arrastrarse por el suelo. Es …"|"Pausotsit"|"3"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Son tuneles que se formaron de la erupciones volcanicas en isla segun nos comentaron muchos de estos tuneles desembocan en el mar ... aventura miy emociomate"|"Alexandra Z"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Es parte del tour donde conoces la parte alta de santa cruz y llegas a este tunes de lava donde cruzas de un lado a otro. Muy húmedo y lleven agua"|"moisesberriosf"|"5"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Yo fui al de Vella Vista que tiene más de 2 km, de los cuales para turistas se recorren como 800m. Sale 3,5 la entrada y no se olviden pedir una linterna en la entrada. Lo interesante es que si lo hacen al túnel en sentido contrario, no tienen que pagar ya que no ingresan al …"|"Federico D"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Los tuneles de lava es un lugar realmente lleno de magia, puedes visitarlos entre otros lugares en la reserva el Chato (accediendo en bicicleta, en tour o por tu cuenta con un taxi a 40dls aprox) Los tuneles son formaciones bajo tierra, que permiten estar en senderos, algunos …"|"PoloARG"|"4"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Se trata de un cráter natural formado por lava el cual ha sido colocado faroles para y adecuado para cruzarlos, casi al final del túnel para poder pasar toca gatear un par de metros, la experiencias es fuera de tono salido de Indiana Jones .."|"Edwin Benalcázar"|"5"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"Los Túneles de Lava es uno de los lugares indispensables de visitar en galápagos, se puede observar lo característico de las rocas volcánicas"|"Marcela G"|"5"|"2017"
"Santa Cruz"|"Cavernas y cuevas‎"|"Lava Tunnel"|"El recorrido es relativamente breve, pero el ambiente selvático que lo rodea, el frío de su interior y los colores y formas de la lava consolidada dan un toque irreal y maravilloso."|"Carlos R"|"5"|"2016"
