"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Una piscina natural entre paredes de roca volcánica! Un maravilloso lugar! El camino hasta llegar puede resultar un poco molesto, sobre todo si ha llovido, pero vale la pena."|"S6068WZdavidz"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"muy bonito! queda bien cerca, vale la pena ir. eso sí, el snorkel no es bueno ahí, casi no se ven animales. sin embargo, el paisaje es lindo, recomendado!"|"Chiara"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Es un enclave que bien podria ser una postal, se puede acceder desde la playa de los alemanes o en el tour de bahia. Se puede nadar y se ven si tienes suerte, tintoreras."|"Urcitano"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Un refrescante baño con mucha vida en el fondo. Muy cerca de Santa Cruz para bucear en una increíble formación rocosa"|"Carmen R"|"4"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"El lugar es mágico, toda Galapagos lo es... La Grieta es segura, limpia, para descansar, relajar....Tiene cuatro problemas, la bajada y subida resbaladiza, ojo, y que con los grupos se llena de gente y ahi se torna insoportabel... Deberia haber cupos maximos para entrar... …"|"Javier Numan"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Es una sucesión de 3 posas muy hermosas. Te sientes realmente en un lugar mágico, no tiene costo, pero tienes la opción de pagar un Guía. Hay que pasar en acuataxi 0,80ctv y caminar unos 500 metros. Lleven aletas, mascara y snorkel."|"Julio Gallegos"|"4"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Que experiencia tan maravillosa nos llevamos al visitar este lugar tan único y tan natural, en donde en la altura de la montaña se podia visualizar buena parte de la isla"|"astridalvarez"|"4"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Es simplemente increíble, una experiencia única, cien por ciento recomendada, para templar los nervios!..."|"Belenice P."|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Un hermoso lugar para nadar. El agua un poco fría pero definitivamente vale la pena. Totalmente recomendable"|"mecorrea76"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Se puede ir muy fácil en un taxi que se coge en el puerto por 80 centavos por cada trayecto. El sitio es genial y esta más vacío tentaron en la mañana I a la hora de almuerzo. Es genial!"|"LauraRonderos"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Fuimos en septiembre, asi que el agua en las islas esta un poco fría. Pero no asi en Las Grietas. las Grietas es una formación basáltica acontecida hace millones de años y tienen una extensión de unos seis kilómetros. Por ahi fluyó la lava. Una de las partes quedó inundada por …"|"gabrielBZ"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Un lugar para relajarse y ver peces de todos los colores y una anguila si tienes la suerte de encontrarla mientra haces snorkel... El lugar es profundo lamentablemente por la presión del agua en un lugar confinado no se puede sumergir mucho pero puedes estar seguro de que en la …"|"Ronald F"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Es las griestas mas hermosas que hay en la isla santa cruz ademas su agua cristalina rodeada de rocas inmensas simplemente hermoso"|"rocioconteron11"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"La naturaleza en Galapagos no deja de sorprenderte y este es un lugar de eso. Agua filtrada formando una piscina natural hermosa, cristalina y mística. Vale la pena caminar desde la playa de los alemanes hasta el lugar"|"RobertoFloresC"|"4"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Es una formación volcánica con dos acantilados a los lados y una piscina natural puedes hacer snorkel , te recomiendo llevar zapato de agua la roca suele estar resbalosa y si quieres aventurarte mas puedes nadar hasta el otro extremo y cruzar unas rocas para observar varias …"|"gataQuito_Ecuador"|"5"|"2019"
"Puerto Ayora"|"Formaciones geológicas‎"|"Las Grietas"|"Muy lindo entorno y miradores, hermoso lugar, especial para hacer snorkel, es bastante profundo, pero muy fácil para nadar allí, los implementos necesarios creo que son zapatillas para el agua, pues hay algunos lugares con rocas, y llevar snorkel, les aconsejo llevar algun snack …"|"valecgb"|"5"|"2019"
