"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Baltra"|"Islas‎"|"North Seymour Island"|"Lugar mágico para practicar snorkeling y buceo. Pudimos observar tiburones martillo, mantarayas entre otras especies"|"AILYN A"|"5"|"2019"
"Baltra"|"Islas‎"|"North Seymour Island"|"Seymour Norte es una de las Islas que se usa para realizar tour diarios y buceo. Los que van a hacer un tour diario, este viaje se puede combinar con la Playa Las Bachas o Mosquera, esta última es un poco difícil encontrar embarcaciones con el Itinerario a Mosquera, pero trata …"|"Viajeros por Ecuador"|"5"|"2019"
"Baltra"|"Islas‎"|"North Seymour Island"|"El aeropuerto de Baltra, es ecológico, diríamos bonito. Es inconcebible que para registrar el ingreso a las islas tarden, para no más de 250 personas casi 2 horas. Uno llega cansado, luego de un largo viaje y la ineficiencia administrativa es inaudita. Poco personal pobremente …"|"riccivet"|"2"|"2018"
"Baltra"|"Islas‎"|"North Seymour Island"|"La parte de snorkel muy buena! vimos hasta un tiburón martillo chiquito a lo lejos. Muchos peces, tiburones y algunas rayas. El agua espectacular. La parte terrestre también genial, vimos muchos lobos marinos y pájaros típicos de ahí. Piquero de patas azules, fragatas, iguanas y …"|"Marina L"|"5"|"2018"
"Baltra"|"Islas‎"|"North Seymour Island"|"Vinimos aquí por dos inmersiones, una en ""La Punta"" y otra en ""Canal"". Ambos lugares muy tranquilos, con corrientes muy suaves que facilitan la visita y reducen el consumo de aire. Muy buenos paisajes y gran variedad de fauna marina. Tuvimos la suerte de ver varias tortugas, …"|"Manuel Jose T"|"5"|"2018"
"Baltra"|"Islas‎"|"North Seymour Island"|"Es un paseo que no te puedes perder. Las aves que ves son únicas. Te recomiendo protector y agua ya que cdo nosotros fuimos hacia mucho calor. Tomamos un barco que lo consigues ahí en el pueblo tiene que hacer un poco de compareció. De precios es más barato que contratar en …"|"Berenice A"|"5"|"2017"
"Baltra"|"Islas‎"|"North Seymour Island"|"Si se tiene la oportunidad, no hay que dejar de hacer esta excursion, una agradable caminata por la isla donde se veran innumerables fragatas y piqueros de patas azules, son sus pichones si es temporada. Tambien iguanas terrestres y algunas marinas en la costa, lobos marinos …"|"elfausto"|"5"|"2018"
"Baltra"|"Islas‎"|"North Seymour Island"|"Un escenario natural maravilloso. Encontras animales muy diversos, como lobos marinos, peces, iguanas de colores amarillo anaranjado de más de medio metro de largo, etc. Aunque lo que resalta en esta isla, es la variedad de aves. Podes observar anidar a las aves, verlas …"|"lucianadelrio"|"5"|"2018"
"Baltra"|"Islas‎"|"North Seymour Island"|"Cualquier cosa que diga de este hermoso lugar se quedará corta. Un lugar donde fácilmente verás anidar a los piqueros de patas azules y a las fragatas, iguanas de tierra de más de un metro de largas y sin duda lo mejor de todo un fondo marino lleno de vida donde podrás nadar con …"|"Rojezno"|"5"|"2017"
"Baltra"|"Islas‎"|"North Seymour Island"|"Uno de los mejores lugares para visitar en Galápagos . Tomas un Tour de al rededor de 140 dólares por persona y antes paras en playas Bachas . Linda hermosa arena blanca . Pero Seymour no tiene desperdicio ves todas las aves típicas de Galápagos piqueros patas azules , fragata …"|"Berenice A"|"5"|"2017"
"Baltra"|"Islas‎"|"North Seymour Island"|"Ver tanta vida en estado natural no es fácil; sin embargo en esta isla se logra y en abundancia. Después de una corta navegación a bordo del cómodo barco Sea Lion se llega primero a una sesión de snorkeling en una playa de la Isla Santa Cruz donde se podrán ver peces de arrecife …"|"D917BHcarlos"|"5"|"2017"
"Baltra"|"Islas‎"|"North Seymour Island"|"Pensaba que tenían más formas de apreciar fauna marina en este Tour. Pero solo se dedicó a fauna terrestre, igual fue relevante observar a piqueros patas azules, fragatas de tipo real, algunas iguanas"|"DanQu-60"|"4"|"2017"
"Baltra"|"Islas‎"|"North Seymour Island"|"es imperdible si vas Galápagos, un lugar increíble para ver la fauna endémica de las islas , verás en hábitat natural a los piqueros, lobos marinos, fragatas! si te gusta la naturaleza es un lugar imperdible!"|"CESAR C"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Bjas en la isla para ver las iguanas terrestres y cantidad de diferentes especies de aves, por favor mucho protector el solo te parte"|"jmazua"|"4"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Fuimos sin muchas expectativas y nos llevamos una gran sorpresa al poder ver piqueros patas azules y fragatas reales anidando. El paisaje es muy especial."|"Manecita_12"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"El tour a la isla es impresionante, desembarcas en una isla que no tiene casi impacto del hombre, solo un sendero que no te puedes saltar. Observas iguanas y muchisimos tipos de aves, por la epoca que fui no habia muchos piqueros azules, pero fragatas si que había en cantidad. …"|"nachoal"|"3"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Muy buen lugar para observar peces y nadar con tiburones, luego desembarcas y te encuentras con una muy linda playa con mucha fauna, en general un paseo inolvidable."|"carlos r"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Una buena caminata de casi dos horas para observar pelicanos , fragatas, piqueros, iguanas, lobos marinos y otras tantas aves. Se vive la naturaleza a pleno."|"Hector G"|"4"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"En una corta caminata por esta pequeña islase podrá observar gran cantidad de piqueros patas azules, fragatas, iguanas terrestres y lobos marinos en su mas puro estado natural, muy recomendable. Ojo aquí no hay playas, es una caminata para observar la fauna."|"axelman_1"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Genial poder observar de tan cerca a las aves, sus nidos, pichones, iguanas, excelente zona para recorrer, los animales no se intimidan ni se alejan."|"Hugo C"|"4"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Avistaje de aves, snorkell, buceo, imperdible. Se puede contratar una excursión desde Puerto Ayora, el precio es razonable y los lugareños muy amistosos y expertos buceadores."|"Debian E"|"5"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"Simplemente espectacular, lo principal en esta isla es el avistamiento de aves, piqueros de patas azules y fragatas, entre otras. También se podrán ver iguanas terrestres. La visite a principios de abril y estaban en pleno rituales de apareamiento, algunas con huevos o …"|"phelguer"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Hermoso para recorrer y hacer avistaje de aves. Usar mucho protector solar. Se puede apreciar ver a los piqueros de patas azules cuidando sus huevos, crias, también se pueden ver fragatas, otros tipos de aves e iguanas amarillas grandes."|"JulianMazzeo"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Un lugar muy bonito para poder observar fragatas y piqueros patas azules. tuvimos la oportunidad de ver la danza de los piqueros y piqueros bebes. una experiencia unica y hermosa"|"Javier D"|"5"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"La isla no la conocimos por la superficie, sino por debajo! Hicimos Buceo Discovery con la agencia Pingüino o Penguin no recuerdo, vimos muchos tiburone, tortugas, tiburón martillo, peces a cientos, y hasta una raya! la recomiendo al 100%"|"Daniela L"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Fuimos a Seymour norte a bucear por primera vez, fue lo que mas nos gusto del paseo, vimos tiburones y muchos peces al lado de nosotros, de las mejores experiencias que hemos vivido! En cualquier agencia venden el tour mas conocido como Discovery!"|"Daniela S"|"5"|"2016"
"Baltra"|"Islas‎"|"North Seymour Island"|"Una recorrida por esta isla, inolvidable!!! Unas vistas para sacar mil fotos, tanta naturaleza, tanta vida silvestre tan bien cuidada. Es un viaje imperdible!"|"GraLucia"|"5"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"La Isla Seymour North es una de las islas más bonitas de Galápagos Ecuador, está ubicada cerca de la isla Baltra. Lleva el nombre de un noble inglés llamado Lord Hugh Seymour. Esta Isla se formó por la elevación de una formación de lava submarina. La isla entera está cubierta de …"|"Ruby Félix"|"5"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"Fuimos en excursión, en un barco chico. El guía fue excelente y no es un detalle menor. El calor puede ser bastante insoportable, buen calzado, sombrero, agua y protector solar imprescindibles. La fauna que encontrás es impresionante. Las playas son preciosas."|"Claudia P"|"5"|"2014"
"Baltra"|"Islas‎"|"North Seymour Island"|"si te gusta ver avistare de aves este es el lugar correcto. Puedes ver toda clase de aves, si uno no esta acostumbrado puede parecer aburrido y hasta descepcionante ya que la zona no es muy linda visualmente. PERO LOS RESULTADOS DE AVES QUE SE VEN SI ."|"PiqueTrips"|"4"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"Con un Grupo de buzos, tuvimos el oprivilegio de conocerlo, ya que alli se encuentran varios puntos de Buceo, un lugar magico donde se puede apreciar lo natural en su estado mas simple, tanto aereo como acuatico Espectacular!!!!!!!!!!!"|"Julio Enrique S"|"4"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"Isla desértica donde se pueden observar las fragatas comunes y reales, las de pecho rojo. Tambien los piqueros de patas azules, iguanas, y lobos marinos."|"Juan Pablo S"|"4"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"¡Me encantó! Fui en una época en la cual pude observar piqueros de patas azules y fragatas. Las fragatas estaban en época de apareamiento, por lo que se las podía ver arriba de los árboles con el ""buche"" rojo inflado. Un espectáculo de la naturaleza. Hermoso."|"ElianaLala"|"5"|"2014"
"Baltra"|"Islas‎"|"North Seymour Island"|"En esta isla encontrarás mucha fauna congregada en un solo lugar y lo mejor que puedes estar muy cerca de ellos ya que se encuentran en su estado silvestre"|"Claudia2230"|"5"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"teniendo en cuenta que estaos hablando de aguas del océano pacifico, no son tan frías y la visibilidad es bastante buena, teniendo en cuenta la época del año. siempre es recomendable contratar guías para bucear seguros."|"Maria Gabriela M"|"4"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"Un lugar sorprendente en Galàpagos, lleno de aves y animales salvajes ùnicos en el mundo. La relacion con el hombre es tambien sorprendente."|"Marcelo C"|"5"|"2014"
"Baltra"|"Islas‎"|"North Seymour Island"|"Lo mejor que he visto en mi vida, las aves y animales salvajes no temen a los hombres, me quede impresionado de lo cerca que uno puede apreciar toda la fauna silvestre, los piqueros patas azules dan un show de cortejo maravilloso, el snorkel también es bueno, tienen un tour …"|"Tom C"|"5"|"2015"
"Baltra"|"Islas‎"|"North Seymour Island"|"Es una isla donde hay gran variedad de aves (piqueros de patas azules, fragatas), iguanas amarillas, lobos marinos. Luego en la excursión te llevan a otra playa donde se ven flamingos. Hermoso! Lugar único."|"nattypau"|"5"|"2014"
"Baltra"|"Islas‎"|"North Seymour Island"|"La isla de los pájaros......piqueteros de patas azules, fragatas machos con enormes bolsas coloradas, gaviotas con visión infrarroja...Uno de los lugares más sorprendentes en Galapagos"|"Hugo S"|"5"|"2014"
"Baltra"|"Islas‎"|"North Seymour Island"|"Si bien existen leves corrientes en esta zona no es mayor problema incluso para un principiante. Se pueden divisar lobos de mar, rayas, tiburones punta blanca, etc."|"Claudio Sepúlveda"|"5"|"2014"
"Baltra"|"Islas‎"|"North Seymour Island"|"North Seymour es una isla donde la naturaleza estalla!.Estuve en la época de apareamientos,nacimientos y crianza de las crias.Ver las fragatas machos volar con esos globos rojos en el pecho significando que están en celo,es apasionante!. Ver a los lobosmarinos hembras amamantar …"|"naberro"|"5"|"2014"
"Baltra"|"Islas‎"|"North Seymour Island"|"Para los naturalistas, esta este es el destino a visitar para comenzar su recorrido por las islas desde Santa Cruz. Lejos del turismo masivo es un área para apreciar biodiversidad única en un entorno que invita a quedarse. Es importante respetar las instrucciones de los guías …"|"Isabela0072"|"5"|""
"Baltra"|"Islas‎"|"North Seymour Island"|"Es una excursion que no se puede dejar de hacer. es impresionante recorrer la isla y encontrar gran variedad de aves como piqueros de patas azules, fragatas machos con su pecho colorado, iguanas amarillas, lobos marinos , un mar bellisimo donde podes observar los leones …"|"Martha G"|"5"|"2014"
