"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Es un visita obligatoria, hay personal uniformado que alimenta a los animalitos por eso es que ellos se mantienen ahí,son bastantes sociales pues mientras no intentes tocarlos te permiten acercarte a ellos, frente esta la iglesia o catedral,hermosa arquitectura, además e está …"|"Carla Bianca B"|"3"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"La catedral es imponente y resalta mucho con la estatua que hay en el parque ubicado justo al frente de la iglesia. Las iguanas que hay en el parque se dejan admirar y parecieran posar para las fotos. A pocos paso está la municipalidad que es un sitio de arquitectura imponente."|"Jairo Ordóñez"|"5"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Es increible un parque donde se escucha retretas, musica romantica y musica del mundo. Sugiero que visiten el parque y pueden auscultar a las iguanas que es un atractivo faunisitco"|"Edwardin J"|"5"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Sin darnos cuenta pasamos más de media hora en el parque. Mi pequeña Isa de casi tres años disfrutó de las tortugas, peces, iguanas y hasta de los vendedores ambulantes. Recomendado."|"MIGUEL URGILÉS"|"5"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"bonito lugar para pasar la tarde disfrutando de la vida cita-dina en el centro de la urbe, deberían apertura todas las puertas."|"Darwin Enrique C"|"4"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Mm.. Bastante descuidado el lugar, muchas palomas e iguanas, también tortugas. Pero no mucho más que hacer, tranquilo."|"Gabriela Campos"|"3"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Como persona de europa me quede asombrada de la cantidad de iguanas que tienee se parque. Estan en todos lados, el piso, el agua, los arboles.. Con gusto volvere"|"becksdelaluna"|"4"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"La más natural y hermosas de las experiencias que puedes vivir en Guayaquil, en pleno centro de la ciudad, si vas, y le pones cómidas a los animales, por favor deposita tu basura en lugar para ello, por el plástico mata a los anímales."|"losviajesdelcoco"|"5"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"En el corazón de Guayaquil, un lugar donde siempre puede traerse a un amigo o familiar que visita la ciudad y será un paseo que valdrá la pena. El lugar es hermoso, con la vegetación, las iguanas por todas partes y demás animales del parque, el fondo de la Catedral de la ciudad …"|"Dome22"|"4"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Es, sino el que más, uno de los parques más famosos de la ciudad. Ello se debe a que por el mismo pululan a su aire un montón de iguanas que hacen las delicias de mayores y niños ( las iguanas, pobres, a veces “padecen”’las travesuras de esos niños). El parque por lo demás es …"|"gabrielBZ"|"4"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Un parque antiguo, frente a la Catedral de Guayaquil, con muchas iguanas, tortugas y palomas, pequeño y tranquilo, con un monumento de Simon Bolívar en su caballo, imperdible en Guayaquil."|"Liliana O"|"4"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Ir a ver a las iguanas y darles de comer es muy comun entre los turistas sobretodo la primera visita al lugar esta muy centrico por loq ue puedes empezar ahi el paseo por la ciudad."|"Huram G"|"5"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Ubicado cercano al centro,el Parque Seminario o comúnmente llamado de las iguanas,es un lugar de atractivo por sí mismo,frente a la catedral es una gran plaza arbolada con monumento estanque con tortugas,vendedores ambulantes y un quiosco Colonial restaurado la principal …"|"rodolfo bustelo"|"4"|"2019"
"Guayaquil"|"Jardines‎"|"Parque Seminario"|"Es un lugar de no perderse, para contemplar las iguanas,acariciarlas, admirar a las tortugas y ver volar a las palomas y el parque en si en muy hermoso, todo limpio y en buen estado, tienen una glorieta muy linda, en resumen es un lugar para no faltar si se va ha visitar …"|"pamorovi"|"5"|"2019"
