"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Excelente lugar para lo mejor del Ecuador su fauna y flora, espectacular como puede ser el cielo y la naturaleza en horas pico"|"Marco M"|"5"|"2019"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Te quedas sin palabras y sin memoria en el celular al tomar varias fotos de un mismo lugar pero que sientes que debes tomar aún más imágenes."|"Michelle Carrillo"|"5"|"2019"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"La puesta del sol es realmente increíble se puede apreciar lo maravillosa que es nuestra naturaleza, nadar en ella es otra experiencia maravillosa"|"JoseASopla"|"5"|"2019"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Nosotros fuimos en verano , enero y la Laguna no tenía agua por lo cual era solo un barrial. Según dicen se llena de agua a partir de marzo y allí es muy linda, pero no la recomendó en enero o febrero"|"Leonie D"|"3"|"2019"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Increible para los atardeceres, lleven boyas o algo para quedarse flotando porque en verdad es muy muu rico."|"jealbornoz"|"5"|"2018"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Es un lugar Magico! puedes ver un atardecer expectacular! y ademas de noche muchossss caimanes y delfines! NO olvides el Repelente para mosquitos!"|"Mobile00355344222"|"5"|"2018"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Sorprende ver una laguna tan grande entre la selva. Uno de los atractivos son los delfines rosas (que más que ver, se intuyen). Lo de nadar da algo de cosilla porque el agua es muy oscura y no te ves ni las rodillas, pero mola."|"Paco A"|"4"|"2018"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Es una laguna hermosa Y enorme, nos llevaban todos los días a ver el atardecer y poder bañarse si gustabas, la mejor puesta de sol que he visto. Un lugar que hay que visitar"|"Javiera F"|"5"|"2018"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"poder nadar en la laguna y ver sus atardeceres, no tiene precio. es un paisaje q imnotiza. se pueden ver caimanes, anacondas en los alrededores. y delfines rosados!"|"Nuria_Pascu"|"5"|"2018"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Un lugar increíble en el que todos deberíamos, una vez en la vida, nadar y olvidarnos del mundo. Me encantó"|"aines"|"5"|"2017"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Lugar maravilloso lleno de una extraordinaria biodiversidad de hecho podría ser del mundo ya que vi de todo solo me falto ver jaguar, el resto de animales los he visto todos..."|"ACCESECUADOR"|"5"|"2017"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"El lugar más romantico de la selva, disfruta el atardecer mientras nadas en esta piscina natural con uno de los escenarios que marcarán tu vida"|"TravelwithXavier"|"5"|"2017"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Es increíble todo l9 q rodea la Laguna Grande ... sus animales sus comunidades sus paisajes ... son un..sueño hecho realidad"|"José G"|"5"|"2017"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Nadar ahí es una experiencia maravillosa. Los colores del atardecer reflejados en el lago son tan hermosos que es difícil olvidarlos. Una hran experiencia de vida."|"Lu P"|"5"|"2016"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Durante nuestra estancia en el Parque Cuyabeno nuestro guía nos llevó varias veces a la Laguna Grande a nadar y ver las espectaculares puestas de sol. Es un lugar mágico. También fuimos un día durante el amanecer a ver diferentes especies de pájaros del Amazonas y por la noche …"|"Laura R"|"5"|"2017"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Se organizan paseos desde los lodges durante el día y por la tarde donde podrás ver y disfrutar de puestas de sol y si quieres, te bañas en la laguna, cuyo color lo marca el origen pantanoso del lugar. La interacción con las personas de otros lodges lo hace aún más entretenido. …"|"Cristián Guíñez"|"4"|"2017"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Una de las excursiones que hicimos en el tour que nos ofreció a agencia de viajes Rainforest Tour, fue visitar la laguna grande. Sin duda es preciosa. Parece un espejo ya que el agua está muy limpia y en ella se reflejaba la puesta de sol y las estrellas. Nos pudimos bañar en …"|"13Bdebel13"|"5"|"2016"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Si viajan a Ecuador, no dejen de visitar El Cuyabeno. Una experiencia única que solo puede vivirse en esta zona del mundo"|"Caballero353"|"5"|"2016"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Es un paisaje que te llama a la calma, puedes nadar con orientación del guía, puedes ver animales endémicos. Con un buen clima es una excelente opción."|"luzarpi33"|"4"|"2015"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"cuando visite la laguna de Cuyabeno simplemente me encanto hay muchos lugares, senderos y arboles por visitar"|"fabri h"|"5"|"2016"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"El color del cielo, las nubes y el agua de la laguna Grande un lugar insuoperable para ver el atardecer."|"Jefferrson L"|"5"|"2016"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Me encantó la laguna, te puedes bañar tranquilamente, el agua está a buena temperatura, se ven bastantes especies de aves y si se tiene suerte se pueden ver delfines rosas. El atardecer es muy bello desde esté lugar."|"xana"|"5"|"2016"
"Cuyabeno Wildlife Reserve"|"Masas de agua‎"|"Laguna Grande"|"Excelente lugar para salir de la rutina y con la tranquilidad de encontrarse a uno mismo, existe una gran variedad de animales"|"Christian H"|"5"|"2016"
