"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"Hemos disfrutado mucho del paisaje y la naturaleza de esta montaña impresionante.. es la más alta del mundo medida desde el centro de la tierra. Puedes llegar hasta el segundo refugio poco a poco a un ritmo suave y si vas bien equipado par el frío... si va en grupo pequeño …"|"robyhay"|"5"|"2019"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"el Chimborazo, es un gran volcán de la sierra ecuatoriana, que se hace respetar. Fuimos un dia con viento y la verdad se nos hizo imposible llegar al segundo refugio. Fuimos con nuestras hijas mellizas de 3 años, y ellas querian seguir subiendo!"|"FamiliaNomade"|"4"|"2018"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"Un reto de altura!!! Todos los consejos nos ayudaron, ir bien abrigados, llevar muchos chocolates 🍫 para comer durante el trayecto, abrir las ventanas del carro durante todo el viaje para que tú cuerpo se vaya aclimatando, caminar lentamente (no desesperarse) hacer descansos, …"|"Daniela V"|"5"|"2018"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"El volcán se encuentra en la Reserva de Producción Faunística Chimborazo. He ido algunas veces, desde Guayaquil está a 4 horas y media, se puede visitar por el día pero es cansado. En esta época la nieve puede estar abajo pero lamentablemente no hubo. Dado que es feriado el área …"|"Efren Aviles M."|"3"|"2017"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"Cuando fuimos al Chimborazo queríamos ver nieve. Tuvimos suerte de tener un día despejado y hubo nieve justo a pocos metros del primer refugio. Mi recomendación es mientras se sube al refugio en carro bajar las ventanas y no abrigarse hasta llegar a la zona de parqueo. Ayuda …"|"mariadelia85"|"5"|"2017"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"Es una montaña muy enorme y llena de hielo en la punta pero tocaría ir muy bien abrigado porque hace mucho frío hay va muchos turistas se los recomiendo mucho :)"|"Jose F"|"4"|"2016"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"Es un bello lugar para disfrutar. Puedes caminar, montar bici o alquilar un auto para conocer este fantástico lugar de Ecuador."|"Lucia B"|"5"|"2015"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"El Volcán Chimborazo es un lugar majestuoso por ser sentirnos más cerca al cielo, contemplar su belleza y su naturaleza son sorprendentes."|"Tamyadventures C"|"5"|"2016"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"No encuentro palabras para describir la emoción que he sentido las dos ocasiones que de viaje hacia los refugios del Chimborazo he sentido al ver su pico nevado la primera vez cuando uno se encuentra cerca de la entrada de la reserva del Chimborazo que lo lleva hacia el primer …"|"ObiWanCharlie70"|"5"|"2016"
"Provincia de Chimborazo"|"Montañas‎"|"Mount Chimborazo"|"estar junto al volcán Chimborazo es indescriptible, ver la majestuosidad de este nevado es sentir lo grande que es la naturaleza, lo bello que es nuestro planeta, estar aqui es para valientes, las fuertes heladas, la temperatura extrema, el sol radiante, todo es es una …"|"vladyba"|"5"|"2016"
