"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"este año estuve en islas galapagos, ecuador... y tambien en peru macchupicchu este ultimo es, destino imperdible de todo viajero, aunque sea una vez en la vida!! bueno, hablare de islas galapagos.... HERMOSO, HERMOSO, Y HERMOSO creo que ver animales en su vida natural no tiene …"|"miryammardones"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"lindisima la playa, vale 100% la pena dedicarle al menos medio dia e ir a visitarlo. el camino a pie es largo pero se puede ir en lancha desde el puerto (y volver tambien) por 10 dolares el tramo"|"Chiara"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Llevad agua, mucha protección solar, gorro y toalla. La caminata hasta llegar son 40 minutos de sendero a pleno sol. Es gratuita la entrada y visita obligada."|"Urcitano"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Hermosa playa, tan linda que fuimos dos dias. La primera caminando 1 hora y media desde puerto Ayora y la segunda en lancha desde el puerto. 10 dolares por persona la ida y otro tanto la vuelta. La lancha estaba regresando a las 12, 2 y 5 de la tarde. Si llegas caminando primero …"|"ne2001"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Aunque hay que caminar aproximadamente 30 minutos para llegar, el tiempo y la caminata lo vale! Es una playa hermosa donde se puede pasar el día con amigos."|"cristinainaa"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Una de las mejores playas de mi vida, volveria muchas veces para compartir con la naturaleza. De locos"|"Ana Vivas"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Desde Puerto Ayora y caminando por un sendero hecho al efecto y que dura unos 45/50 minutos, sendero por lo demás muy bonito, pues puedes apreciar la flora de la zona que es espectacular, llegas, de repente a esta increíble y bellísima playa de Tortuga Bay, de arenas finísimas y …"|"gabrielBZ"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Un lugar de esos que te transportan a una historia soñada, la playa es realmente hermosa con su arena blanca y el mar tan imponente que su color turquesa te hace entender lo hermosa que puede ser la naturaleza acompañada de estos animalitos típicos de nuestras Galapagos. No …"|"RobertoFloresC"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Para llegar a esta hermosa playa tienes que hacer un recorrido de 1 hora todo el sendero es plano nada difícil al llegar ahí te sorprenderás con lo hermosa que es, llegaras a playa brava que es recomendada para sorfear caminando un poco mas podrás observar iguanas marinas, …"|"gataQuito_Ecuador"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"La mejor playa es hermosisima arena blanca aguas turquesa manglares espectaculates ves iguanas aves tortugasmarinas con las que podes nadar total union con la naturaleza"|"Global00696073781"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Muy recomendado para los turistas que llegan a Galápagos. La arena es fina y blanca y el color del agua impresionante. Se debe caminar aproximadamente 4 km desde el poblado para llegar a este paraíso."|"Jordan Herrera"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Es una playa larga y bonita, donde puedes ver iguanas de todos tamaños. El entorno es precioso y hay diferentes especies de pájaros, sobretodo pelícanos y fragatas."|"Ferran"|"4"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Tortuga Bay merece la pena conocer. La playa es de arena blanca y el recorrido para llegar hasta ahí si vas caminando desde Puerto Ayora es lindo porque está rodeado de entorno natural y es súper tranquilo. Es el plan perfecto para desconectarte, tener un día de sol y mar. …"|"CVG"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Una de las playas mas lindas que he visitado Para descanzar tomar sol o nadar y claro cpn la.presencia de animales"|"Galo E"|"5"|"2018"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Caminando a pleno sol, o tenuemente mojado por el rocío de la ola que atraviesa el barco en carrera; gratis o con boleto (según diga su estado físico y/o bolsillo), la gente concurre placenteramente a Tortuga Bay. Una rica fauna y extraña flora reciben al viajero en una amplia …"|"Saul L"|"4"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"excelente servicio y atención que ofrece donde se puede disfrutar tanto de las flora, faunas y de los bonitos paisajes"|"Marcelito B"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"La play Tortuga Bay si lleno mis expectativas, arena blanca, playa inmensa, muchas iguanas, un verdadero paraíso natural. Ahora entiendo porque tanta gente visita las Galapagos."|"Ligia M"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Si están planificando una visita a Tortuga Bay prepárense para una buena caminata, alrededor de 45 minutos. Lleven agua suficiente y snacks porque en la playa no hay donde comprar nada. Cuando llegan a la playa verán una hermosa playa, pero ahí no se podrán bañar porque es …"|"HectorTorrealba"|"4"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"La playa es espectacular. Tienes que andar 45 minutos para llegar pero si vas pronto se hace un paseo muy agradable. Lo peor es que llegas con ganas de bañarte y no puedes. Está prohibido. Si andas otro kilómetro llegas a una playa donde si puedes bañarte pero no tiene el mismo …"|"MAngeles_61"|"3"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Visita plata tortuga Bay, el lugar es maravilloso, la arena y el mar Don únicos. Se puede observar muchas especies"|"AILYN A"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Queda a 40 minutos de Pto Ayora caminando o 15 minutos en lancha. Es una playa paradisiaca, donde puedes encontrar muchos peces, agua tranquila y cristalina. Es un paraíso, los niños pueden jugar y no te debes preocupar por las olas. Excelente!"|"Juan Carlos Ramos"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Desde nuestra llegada a Baltra- Santa Cruz el 20/5/19 tuvimos un excelente recibimiento por parte del guía, con quien hicimos nuestro primer tour: Reserva de tortugas, túneles de lava, Estación Científica C.Darwin. El resto de los paseos contratados en diferentes empresas muy …"|"Jorge Ribero"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Ir a Galápagos es toda una aventura desde que empieza el vuelo, no debes olvidar comprar la tarjeta migratoria en el aeropuerto! Ya faltando poco para llegar, a lo alto puedes devisar a las islas en todo su esplendor ES MARAVILLOSO!!! Una vez en el aeropuerto debes pagar por el …"|"Lucy V"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Puedes ir caminando por un precioso sendero empedrado desde el centro de STA. Cruz o tomar una lancha rápida o como parte de un tour . Nosotros lo hicimos caminando, son 40 min. y lo disfrutas si amas caminar y apreciar las plantas y cactus gigantes. La playa no es grande pero …"|"Marianela L"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"El camino a tortuga Bay es de aproximadamente 30 minutos. Para quien no esté de ánimo.para una caminata, desde puerto Ayora, pyede contratarse un taxi acuático hasta la playa de Tortugas, el costo aproximado es de usd 10 por tramo por persona (ida y vuelta $20). Es importante …"|"Ceci D"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Tuve la oportunidad de ir con mis familias para las vacaciones de abril, luego de recorrer a pie 2.5 km llegamos a la playa más increible, con una arena blanca que no se pega a tu cuerpo, el agua cristalina donde se podían ver mantarrayas, peces de todos los colores e iguanas. …"|"Alisson I"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Tortuga Bay es un lugar que puedes recorrer sin necesidad de contratar un guía. Tiene un sendero lindo para llegar o lo haces en lancha sino quieres caminar. Tiene dos playas. Playa brava y playa mansa. En la mansa me quede porque andaba con mi hijo. Ese día si salió el sol hay …"|"Endrina"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Excelente playa para disfrutar a lo natural de toda esa belleza. Un verdadero paraíso por el que no necesitas pagar para poder ingresar y disfrutar"|"Martha López"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Para llegar puedes tomar un bote o ir caminando. Si van personas mayores o niños muy pequeños recomiendo ir en bote. Yo fui caminando el camino es largo pero vale la pena. Tiene un sector de la playa que es apto para el surf otro sector muy correntoso y otro sector donde está el …"|"MISVIAJES"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Un viaje lleno de experiencias donde disfrutarán d su gente, paisajes, iglesias, museos, calles colineales, monumentos e historia, un sueño q cumplir."|"Jorge M"|"5"|"2019"
"Santa Cruz"|"Playas‎"|"Galapagos Beach at Tortuga Bay"|"Manglares, mar movido, Bahia tranquila, tiburones en la orilla, y docenas de iguanas de mar en los manglares, hacen de esta playa una de las mejores opciones de Puerto Ayora."|"Marcelo C"|"5"|"2019"
