"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Acudir a Probici para realizar este viaje al volcán Chimborazo y hacer descenso en bici, fue lo mejor, una experiencia única, El sr Galo fue muy amable y conversamos mucho sobre el tour que nos ofrecía, nuestro guía fue Alejandro y es una persona genial, se preocupó mucho por …"|"Maria Jose T"|"5"|"2019"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Hace mucho tiempo había leído las reseñas de Pro Bici y decidí hacer el descenso basado en ellas... No me equivoqué! Galo, quien da todas las indicaciones en la operadora es un apasionado de lo que hace. Tiene mucho por contar y si les gusta aprender, aprovechen y vayan temprano …"|"Maria Jose Q"|"5"|"2019"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Una gran experiencia, excelente sentenció n. Gran aventura ya sea que estés familiarizado con MTB o solo si quieres un paseo diferente. El Chimborazo es maravilloso. Un tour que no te puedes perder si te gusta la naturaleza. Altamente recomendado. Las bicis son buenas pero …"|"Hugo Nikma H"|"5"|"2019"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Un lugar muy hermoso , un día lindo pero mucho frio .. pero fue ferfect .. me encanto .. =) y mi familia esta muy contento volveremos al lugar =)"|"Nico Garrix I"|"4"|"2019"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Una de las experiencias mas hermosas y gratificantes que pudimos vivir en Ecuador. Galo y Carlos son dos personas increíbles y apasionadas, son todo lo que uno quiere en un guía. Gracias por habernos echo sentir parte del Chimborazo! A pesar de haber bajado un día con llovizna …"|"Maru G"|"5"|"2019"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Contactamos a Probici para realizar el paseo en bicicleta por el Chimborazo. Galo nos explicó en detalle la aventura (excelente) y puso a nuestra disposición a Carlos (guía) quien nos acompañó en todo el camino. Carlos tiene mucho conocimiento sobre el recorrido, lugares …"|"Marcelo L"|"5"|"2019"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Tuve la suerte de ver de contactar esta empresa para hacer una escursión al Chimborazo. Al llegar a la oficina, Galo me dedicó una hora para contarme la escursión sin que yo me haya comprometido a hacerla. Lo hizo con muchìsima pasiòn. Y el dìa de la excursión al Chimborazo (la …"|"Hernan Tiraboschi"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Excelente atención del operador sr.galo y su guía Alejandro, se tomaron todo su tiempo para explicar bien el modo y forma de la excursion, excelente carro y bicicletas..en mi caso no realize bicicleta..quedamos muy conforme con el servicio. Lo aconsejo si anda por Riobamba."|"organizacionaust2018"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Un tour en bici muy agradable con un guía (Carlos) muy simpático y profesional. Un tour de excepción que vale mucho la pena ! Mis padres y yo recomendamos este equipo para hacer la bajada en bici del Chimborazo."|"S. M"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Excelente servicio, que convierte el paseo por las faldas del volcán en bicicletas en una experiencia inolvidable!"|"olgacha2016"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"La experiencia fue fascinante, me acerque el día anterior a la salida a la oficina en Riobamba, allí me probé los equipos y escogí la bicicleta de acuerdo a mi estatura. Al siguiente día pasaron a retirarme en el carro 4 x 4 con todos los equipos ya cargados en la puerta de mi …"|"birdy-alice"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Con un guía (Carlos) excelente, muy motivado e interesante, esta experiencia ha sido única y con todo el grupo recomendamos a Probici a cualquier persona/grupo que esté interesada/o en visitar y admirar al Chimborazo de una manera distinta, aventurosa y deportiva"|"Jef C"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Manera diferente de visitar el Chimborazo. En vez de subir y bajar en vehículo, mejor disfrutar de un paseo en bicicleta solo bajando el volcan. Major contacto con la naturaleza, mayor contacto cultural con los indigenas Puruhaes, Oferta varias rutas y escogimos la del templo …"|"Ecuadoriaansebelg"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Un guía muy preparado, equipo y bicicletas de alta calidad, una ruta bien diseñada con posibilidades de parar si algo te llama la atención o te sientes deseoso de sacar alguna fotografía, comunicación por radio al momento de separarse en los desvíos al descenso en bicicleta, una …"|"Jorge C"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Sin duda alguna, una experiencia increible!! Son los mejores, quedemos encantados con el servicio, y muy agradecidos, especialmente con el señor Galo que fue quien estuvo atento desde antes viajar, hasta nuestra llegada a su oficina, brindandonos todos los detalles …"|"Julytha1997"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"En primer lugar quisiera agradecer a Diego y a Galo por su excelente predisposición por hacer de esta experiencia, un viaje inolvidable. La noche anterior al descenso estuvimos hablando acerca de la historia y las características geográficas del lugar, seleccionamos las bicis …"|"Steven C"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Con un grupo de amigos tomamos el tour de descenso en bicicleta que ofrece Probici y fue fantastico!! El día que llegamos fuimos a la oficina donde Galo nos explicó todo lo referente al tour (la oficina es bastante modesta y a primera vista podría parecer que estan a punto de …"|"Fernando P"|"5"|"2018"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"La excursión en Bici que hicimos para descender el Chimborazo es sin duda una de las mejores experiencias que hemos tenido hasta el momento!! A destacar la amabilidad y predisposición de todos los guías, que nos acompañaron en todo momento, en particular Galo, Fausto y Carlos. …"|"Cristina L"|"5"|"2017"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Desde el día anterior Galo muy atento, muy interesante compartir con personas como el, organizo todo el viaje, hizo pruebas de los equipos, y nos enamoro del viaje por lo que ofrece, fuimos un poco tarde el día anterior a Riobamba pues no sabíamos exactamente que se podía hacer …"|"Onirt T"|"5"|"2017"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Excelente lo mejor de Riobamba. Los dueños saben mucho transmiten su conocimiento durante la salida. Todo el equipos de seguridad es bueno."|"Laura Melisa S"|"5"|"2017"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Hablè mucho con Galo antes de llegar a Riobamba y al final me fui por el paseo de bici lo mismo si estabo solo. Guia muy buena, me diciò todas las distancias exactamente y tambien las informaciones naturalistas importantes. Teni solo un poco de miedo cuando dos perros me …"|"andrea1311"|"5"|"2017"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Lo maravilloso de este tour es que no es sólo el descenso del Chimborazo, es mucho mas! la ruta va por entremedio de campos y paisajes maravillosos, de lugares ceremoniales y de historia, fuera de la carretera lo que lo hace muy interesante. Si bien era un poco más el valor del …"|"Ey Leen"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"El tour fue increíble, y el guía 'carlitos' fue excelente, recomendado. A pesar de tener lluvia y frío, definitivamente valió la pena."|"Aleksis C"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Una experiencia inolvidable tanto por la actividad y los paisajes como por la profesionalidad y simpatía de los guías y trabajadores de la empresa."|"Daniel L"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Quice conocer el Volcán y que mejor manera de hacerlo que en bici... Estas personas Galo y Diego conocen muy bien su trabajo! Son muy profesionales, agradables y buena compañía para el recorrido. Me encantó! Tengo que volver allí y ojala sea pronto!"|"Daniel Andres J"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Un recorrido maravilloso, el paisaje que pude ver fue simplemente increíble.. El personal muy amable. Haré incapié con don Julito, simplemente INCREIBLE Y CON TAAAANTA PACIENCIA.. yo lo recomiendo al 100% tienes seguridad y realmente vale la pena :)"|"JohannaRuiz8816"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Fui a Probici por los buenos comentarios que encontré en internet, y puedo decir que son verdad. El señor Galo Brito es un experto en lo que ofrece y eso hace que pueda tener la confianza de que lo que ofrece es garantizado. Yo contrate el paseo en bicicleta descendiendo por el …"|"Roberto V"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Excelente recorrido, las montañas son preciosas. Un excelente personal. Julio y Galo son maravillosos. Las bicicletas de la mejor calidad y los autos también. Muy pacientes en la guianza y compañía Además de ser un buen precio"|"Andres S"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Pasé un día fantástico que nunca olvidaré. Con una amiga hice el tour mediano en bici en un grupo de seis personas (subimos a una laguna a 5100m y bajemos más que 30km en bicicleta). La organización de la agencia es muy buena. Te explican todo lo que necesitas saber y no tienes …"|"Kat K"|"5"|"2016"
"Riobamba"|"Rutas para ciclismo‎"|"Pro Bici"|"Pueden ir al chimborazo es el mejor volcan por su facilidad y verdaderamente es un coloso de nuestra patria"|"byron s"|"5"|"2016"
