"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Vimos los osos en Maquipucuna!!! Residimos en Quito y por varias razones no conseguíamos cuadrar las vacaciones con la temporada de osos. Este finde por fin lo conseguimos y fue una experiencia inolvidable. Los caminos están muy bien conservados y esto hace que sea una …"|"SILVIA Ramos"|"5"|"2019"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"un lugar rodeado de naturaleza pura, con bosques húmedos, flora espectacular, aves únicas, mariposas; senderos para caminatas cortas y largas"|"Ramiro M"|"5"|"2018"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Es la meca del turismo ecológico ; buena atención , muy aseado , precios razonables. Hay que realizar esta visita con personas que le guste compartir con la naturaleza mano a mano"|"Patricio G"|"4"|"2017"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Maquipucuna es una reserva que parece intocada de bosque nuboso. Estuvimos 3 días y 3 noches en julio. Nos trajeron desde el aeropuerto de Quito, tuvimos un excelente guía para nosotros durante los tres dias, Arsenio, que nos guió por los senderos, nos mostró los pájaros y nos …"|"Paola S"|"5"|"2018"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Fuimos en familia, con niños entre los 12 y 15 años a caminar por los senderos de este lugar. Caminamos por un sendero llamado humedal que dura un par de horas en cubrir, el lugar es realmente hermoso y el bosque aunque secundario en esa parte muy bien conservado y es una …"|"Augusto E"|"2"|"2018"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Fue un viaje anhelado por muchos años y finalmente se dio la oportunidad, el acceso es bueno, la información y el servicio por parte de la organización es excelente, me sentí bien a gusto con el servicio, los senderos(Guia Mauricio) la alimentación(Mirma) y las instalaciones y …"|"Gloria JH"|"5"|"2018"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Esta un poco lejitos de Quito, cerca de una hora, pero merece la pena cada minuto que tardes en llegar allí. Es una zona de selva donde observar gran cantidad de aves y sobre todo de orquídeas, mi flor favorita."|"arantzacampos"|"5"|"2016"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Visitamos la Reserva Maquipucuna con mi esposa y nuestro hijo de 6 Años, en lo que fue una muy buena experiencia de montaña, contamos con la suerte de poder entrar en una reserva bastante bien mantenida en donde se puede ver claramente un gran compromiso conservacionista. La …"|"Juan Carlos R"|"4"|"2017"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"A quien le interese poder ver a los osos de anteojos desde muy cerca, Maquipucuna es el lugar idea. Fue una experiencia inolvidable poder verlos de tan de cerca, siendo osos que ya están en extinción nos sentimos privilegiados observa los. Cuando estuvimos allá también estaba un …"|"Kockott3"|"5"|"2017"
"Quito"|"Rutas para senderismo‎"|"Maquipucuna Reserve"|"Hemos pasado tres dias fascinantes en la Reserva Maquipucuna. Alucinante avistaje de aves y osos de anteojos en la grata compañia de nuestro guía Arsenio. La comida casera con productos regionales. Nuevos y exquisitos sabores con el trato privilegiado a mi esposo intolerante …"|"ceciliaargent"|"5"|"2017"
