"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"Es fácil de visitar desde Quito por medio de excursiones de agencias de viajes. [agencia CarpeDM, 50 USD que cubren transporte ida y vuelta, guía, desayuno y almuerzo, ascenso al Refugio José Ribas (a 4,864 m.s.n.m.) y al comienzo del glaciar (5,000 m.s.n.m.), además de …"|"AlphardV"|"5"|"2019"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"El volcán Cotopaxi con su 5897 metros sobre el nivel del mar se levante imponente en el parque nacional del mismo nombre, se puede acceder con el vehículo un buen tramo, al ingreso del área deberás solicitar un guía local que dará informaicón muy relevante del nevado."|"EfrenMendozaTarabo"|"5"|"2019"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"Uno de los mejores paisajes de la sierra, fácil de llegar, lo recomendable es un vehículo alto y ropa de montaña. De paso está el parque y la Laguna"|"guachamin"|"5"|"2019"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"Excelente lugar, algo indescriptible. Sugerido ir en un tour, o en tu auto propio, pero creo que si vas solo tienes que entrar con un guía que te cuesta dinero, no se la cantidad, pero rumores dicen que es entre los 30 a 40 $USD, no estoy seguro. El volcán es algo espectacular. …"|"ratiux2000"|"5"|"2019"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"la motaña es imponente, magica, impactante, es , de lejos uno de los lugares mas bellos del mundo, mis sugerencias son: que pavimenten la via, al menos hasta las lagunas, que hagan camino de cemento hasta el parqueadero en la base del volcan, que haya mas lugares donde comer …"|"angelrdiaz69"|"4"|"2019"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"Siempre llevar ropa impermeable por si llueve, cae granizo o cae nieve. Caminar despacio para poder llegar al Glaciar y tener la experiencia de conocer un glaciar."|"Leevan1983"|"5"|"2017"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"mi recomendacion lleven ropa abrigada , guantes, pasamontañas, buff. Caminen lento. tienen la opcion de llegar al glaciar despues del refugio unos 45 min mas caminando"|"patricia r"|"5"|"2018"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"Impresionante. Llevar ropa abrigada e ipermeable ya q hace frio y viento fuerte. En el refugio hay chocllate caliente y estan las banderas de varios paises en las cuales puedes escribir tu nombre y tomarte la foto si está la de tu país. Volvería!"|"Elier R"|"5"|"2018"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"El volcán cotopaxi es un pequeño nacional y por ello la entrada es gratuita Para ir hay tres formas : 1)Con un guía que se pueden conseguir desde Quito en una agencia o también en Latacunga El previo de esto varía de 90 a 200 dólares. 2) por medio de un taxi (con una camioneta …"|"Luis Arturo Rivas-Tovar"|"5"|"2018"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"entrada gratuita para caminar al parque natural cotopaxi... cuando llega a la parte alta,.... hay un albergue con delicioso chocolate y sandwich... de jamon"|"jhonmolano"|"5"|"2017"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"Toda la Reserva es hermosa y conviene tener un GPS o buen sentido de orientación, muchos caballos libres con extensa cabellera (por el frío) y dentro del renglón variedad de flora."|"EliasAntonio6"|"5"|"2017"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"Se recomienda ir temprano, en un carro alto ya que el camino de acceso no es muy bueno, bien abrigado y dispuesto a disfrutar de la naturaleza en su máximo esplendor"|"FIFO555"|"5"|"2017"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"El ascenso del paradero al refugio a casi 5.000 MSNM es muy exigente, pero gratificante a la vez, se debe de visitar también la laguna"|"Luis Pablo R"|"5"|"2017"
"Tanicuchí"|"Volcanes‎"|"Cotopaxi Volcano"|"La caminata es muy chevere, el volcán nevado se muestra imponente. El camino hasta llegar al parqueadero es bastante largo por lo que llegar hasta allí a pie toma mucho tiempo. Nosotros cometimos el error de ir sin tour y después de varias horas caminando una familia ecuatoriana …"|"Isabel C"|"5"|"2017"
