"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Usuario"|"Calificación"|"Año"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Hay q ir en carros que suba en terreno medio. Sería interesante q exista más promoción y sobre todo que existan salidas desde la ciudad de Cuenca"|"jmesa1965"|"5"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"muy buena opcion para amantes de la naturaleza , animales rescatados de cautiverio con amplias instalaciones, llevar zapatos cómodos, muy cómodos caminata larga, bloqueador solar indispensable, gorra y chaqueta para viento.."|"Fernando S"|"5"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"El zoologico me encantó y más al saber que algunos animales habían sido rescatados. También hacen una labor de investigación muy importante. Hay que estar en buen estado físico porque está en una montaña con acceso difícil en camino de tierra"|"glvelez"|"4"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Los animales parecen viejos y abandonados, el lugar está como olvidado, los caminos labrados en la pared, las jaulas oxidadas. No me parece que tengan medios para mantenerlo. Deberian esforzarse mas por hacer publicidad ya que no llega mucha gente y eso que es sabado!"|"Jaime R"|"5"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"El lugar superó totalmente mis expectativas por la forma en que cuidan a los animales y educan a las personas. Al principio no parece un Bioparque grande, pero más o menos te demoras 4 horas en recorrerlo completo... De lo mejor que tiene Cuenca."|"Rubén Dario"|"5"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Nos encantò ver a los animales en el trayecto, la caminata dura aproximadamente 3 horas,las aves estàn tan cerca que las puedes tocar...pero no lo hagas!, tambièn es muy educativo para los niños, una experiencia inolvidable.."|"Patty M"|"5"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Fue hace un par de semanas y fue hermoso conocer nuevas especies y además verlas en su hábitat natural sin ser lastimadas!"|"Maggie"|"5"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Experiencia única para reflexionar para contemplar para amar la. Vida para aferrarse a ella para valorar para amar todo al ver tanta naturaleza hermosa tantos animales únicos permitiendo qie veamos su belleza, mas que recomendado"|"StephaMoon"|"5"|"2018"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Bastante interesante paseo un poco exigente en la caminata que es en la montaña pero es un concepto interesante estilo trekking"|"Diego S"|"4"|"2019"
"Cuenca"|"Zoológicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Un Zoológico donde los animales tienen un gran espacio lo mejor acondicionado a su habitad, es una caminata larga donde te enseñan los daños que los seres humanos están causando"|"afca07"|"5"|"2019"
