Destino|Categoria|Atraccion|Comentario|Calificacion|Anio
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Un establecimiento que verdaderamente se preocupa por el cuidado de las orquideas y no simplemente del comercio, parada obligada en Gualaceo.|5|2019
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Al entrar a estos invernaderosse siente la magia de lo natural, la magia divina a nuestro alcance, es maravilloso.|5|2018
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|La casa abierta que organizan en ciertos meses del anio, nos da la oportunidad de admirar una cantidad de variedades de orquideas que realmente le dejan a uno con la boca abierta por su belleza|5|2018
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Es mas que interesante y los que hacen de guias o expositores o empleados conocen y son muy didacticos y amables es un paseo digno de hacerse y sobretodo para turistas|5|2017
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|"Un atractivo espacio diseniado para mostrar la incomparable belleza de las orquideas que en la zona son ""reinas entre flores"", muchas variedades cada una mas hermosa que la siguiente"|5|2016
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Para entrar al orquidiariario pagas y haces una visita guiada. Tiene unas areas preciosas de orquideas. Es un lugar muy acogedor.. ademas de ver orquideas, puedes ver aves y hay muchos perros muy lindos! He ido dos veces a este lugar. De preferencia ir en feriados o eventos …|5|2016
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Es el mejor orquidiario que he visitado en mi vida. Una variedad de plantas maravillosas. Un pequenio inconveniente, no te facilitan un certificado de control sanitario para poder comprar una orquidea y poderla ingresar a otro pais. Visita imperdible|5|2016
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Ademas de la excelente ambientacion y ubicacion del sitio, podemos observar en el y comprar una gran variedad de orquideas, las plantas se encuentran en excelente estado y ofrece ademas servicio de guianza y una excelente vista. Totalmente recomendado al visitar Gualaceo.|5|2016
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Es fascinante ver la cantidad de especies de orquideas con las que cuenta este lugar. La atencion de su personal es muy calida y te ayudan a entender el proceso de las plantas. Muy recomendable|5|2016
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Un lugar para ver las orquideas mas hermosas del Ecuador, se puede adquirir algunas especies muy hermosas.|5|2015
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|hermosisima excursion a las maravillas naturales del Ecuador. Mas de 3200 variedades de orquideas, una mas hermosa que otra|5|2015
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Diferentes especies, con bello colorido, interesante, dan ganas de traerlas las orquideas. Fui en vehiculo y el lugar esta lleno de negocios de zapatos y carteras de cuero. Es como el cajon del Maipo nuestro. Hay comida tipica|5|2015
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Las orquideas son espectaculares, una variedad infinita, muy buena asesoria y servicio, son muy amables y serviciales|5|2015
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Flor hermosa, y representativa de Cuenca... de diversas variedades y colores, una experiencia muy romantica para quienes gustan de las flores...|5|2015
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Belleza en un lugar pequenio. La variedad de colores, tipos, formas son un verdadero deleite para los ojos. Los sentidos se enriquecen al encontrar la variedad de flores con sus detalles y formas.|5|2014
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|En Ecuagenera encontre las mas bella variedad de todo tipo de orquideas, el precio me parecio justo y , ademas me enviaron las plantas a Quito sin costo adicional . Valio la pena la visita.|5|2015
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|En este lugar se encuentran orquideas muy lindas, nativas de Ecuador e internacionales. Es una maravilla estar rodeado de tantas flores de su aroma. Recomendada la visita|5|2013
Cuenca|Jardines‎|Ecuagenera - Orquideas del Ecuador|Un lugar hermoso, paradisiaco lleno de distintos tipos de orquideas, te va a fascinar, yo termine comprando 5 orquideas de lo hermooosas que son!!! miles de veces recomendable, muy buena empresa|5|2012
