Destino|Categoria|Atraccion|Comentario|Calificacion|Anio
Riobamba|Rutas para ciclismo‎|Pro Bici|Acudir a Probici para realizar este viaje al volcan Chimborazo y hacer descenso en bici, fue lo mejor, una experiencia unica, El sr Galo fue muy amable y conversamos mucho sobre el tour que nos ofrecia, nuestro guia fue Alejandro y es una persona genial, se preocupo mucho por …|5|2019
Riobamba|Rutas para ciclismo‎|Pro Bici|Hace mucho tiempo habia leido las resenias de Pro Bici y decidi hacer el descenso basado en ellas... No me equivoque! Galo, quien da todas las indicaciones en la operadora es un apasionado de lo que hace. Tiene mucho por contar y si les gusta aprender, aprovechen y vayan temprano …|5|2019
Riobamba|Rutas para ciclismo‎|Pro Bici|Una gran experiencia, excelente sentencio n. Gran aventura ya sea que estes familiarizado con MTB o solo si quieres un paseo diferente. El Chimborazo es maravilloso. Un tour que no te puedes perder si te gusta la naturaleza. Altamente recomendado. Las bicis son buenas pero …|5|2019
Riobamba|Rutas para ciclismo‎|Pro Bici|Una de las experiencias mas hermosas y gratificantes que pudimos vivir en Ecuador. Galo y Carlos son dos personas increibles y apasionadas, son todo lo que uno quiere en un guia. Gracias por habernos echo sentir parte del Chimborazo! A pesar de haber bajado un dia con llovizna …|5|2019
Riobamba|Rutas para ciclismo‎|Pro Bici|La experiencia fue fascinante, me acerque el dia anterior a la salida a la oficina en Riobamba, alli me probe los equipos y escogi la bicicleta de acuerdo a mi estatura. Al siguiente dia pasaron a retirarme en el carro 4 x 4 con todos los equipos ya cargados en la puerta de mi …|5|2018
Riobamba|Rutas para ciclismo‎|Pro Bici|Con un guia (Carlos) excelente, muy motivado e interesante, esta experiencia ha sido unica y con todo el grupo recomendamos a Probici a cualquier persona/grupo que este interesada/o en visitar y admirar al Chimborazo de una manera distinta, aventurosa y deportiva|5|2018
Riobamba|Rutas para ciclismo‎|Pro Bici|Manera diferente de visitar el Chimborazo. En vez de subir y bajar en vehiculo, mejor disfrutar de un paseo en bicicleta solo bajando el volcan. Major contacto con la naturaleza, mayor contacto cultural con los indigenas Puruhaes, Oferta varias rutas y escogimos la del templo …|5|2018
Riobamba|Rutas para ciclismo‎|Pro Bici|Un guia muy preparado, equipo y bicicletas de alta calidad, una ruta bien diseniada con posibilidades de parar si algo te llama la atencion o te sientes deseoso de sacar alguna fotografia, comunicacion por radio al momento de separarse en los desvios al descenso en bicicleta, una …|5|2018
Riobamba|Rutas para ciclismo‎|Pro Bici|Sin duda alguna, una experiencia increible!! Son los mejores, quedemos encantados con el servicio, y muy agradecidos, especialmente con el senior Galo que fue quien estuvo atento desde antes viajar, hasta nuestra llegada a su oficina, brindandonos todos los detalles …|5|2018
Riobamba|Rutas para ciclismo‎|Pro Bici|Se lo recomiendo a todo el mundo, lo pasamos genial y en muy buena companiia. Pro bici como su nombre lo indica son muy profesionales. Muchas Gracias Galo|5|2016
Riobamba|Rutas para ciclismo‎|Pro Bici|extrania ver una agencia en este primer puesto, pero despues de haber pasado dos dias con ellos ya sabemos porque, son excepcionales!, el jefe Lito, y los guias Dieguito y Julio , se nota que les encanta su trabajo, te dan todas las explicaciones, historia, geografia, fauna, …|5|2015
Riobamba|Rutas para ciclismo‎|Pro Bici|El tour acompanyado de Diego y Diegito es pura aventura y muy recomendable. los guias son muy atentos y te llevan al segundo refugio del Chimborazo. Aparte tienen conocimientos muy profundos de la zona... el paramo, de la alta montana, de la flora y fauna. de ahi bajas con la …|5|2015
Riobamba|Rutas para ciclismo‎|Pro Bici|Realizamos en familia el descenso desde el Ref. Hermanos Carrel hasta San Juan, por un itinerario muy bonito y variado. Mis hijos disfrutaron mucho con el descenso y la atencion fue excelente. Diego nos trato fenomenal, nos explico detalles en cada rincon, y en dos pequenias …|5|2015
Riobamba|Rutas para ciclismo‎|Pro Bici|El personal de Pro Bic fue sobresaliente: altamente profesional, complaciente y muy calido y apasionado por su trabajo y el entorno en el que se practica. La sesion informativa que tuvimos la noche anterior proporciono exactamente el tipo de asesoramiento experto necesario, …|5|2019
