"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Calificacion"|"Anio"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"Es un enclave que bien podria ser una postal, se puede acceder desde la playa de los alemanes o en el tour de bahia. Se puede nadar y se ven si tienes suerte, tintoreras."|"5"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"Un refrescante banio con mucha vida en el fondo. Muy cerca de Santa Cruz para bucear en una increible formacion rocosa"|"4"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"El lugar es magico, toda Galapagos lo es... La Grieta es segura, limpia, para descansar, relajar....Tiene cuatro problemas, la bajada y subida resbaladiza, ojo, y que con los grupos se llena de gente y ahi se torna insoportabel... Deberia haber cupos maximos para entrar... …"|"5"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"Es una sucesion de 3 posas muy hermosas. Te sientes realmente en un lugar magico, no tiene costo, pero tienes la opcion de pagar un Guia. Hay que pasar en acuataxi 0,80ctv y caminar unos 500 metros. Lleven aletas, mascara y snorkel."|"4"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"Que experiencia tan maravillosa nos llevamos al visitar este lugar tan unico y tan natural, en donde en la altura de la montania se podia visualizar buena parte de la isla"|"4"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"Es las griestas mas hermosas que hay en la isla santa cruz ademas su agua cristalina rodeada de rocas inmensas simplemente hermoso"|"5"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"La naturaleza en Galapagos no deja de sorprenderte y este es un lugar de eso. Agua filtrada formando una piscina natural hermosa, cristalina y mistica. Vale la pena caminar desde la playa de los alemanes hasta el lugar"|"4"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"Es una formacion volcanica con dos acantilados a los lados y una piscina natural puedes hacer snorkel , te recomiendo llevar zapato de agua la roca suele estar resbalosa y si quieres aventurarte mas puedes nadar hasta el otro extremo y cruzar unas rocas para observar varias …"|"5"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"Muy lindo entorno y miradores, hermoso lugar, especial para hacer snorkel, es bastante profundo, pero muy facil para nadar alli, los implementos necesarios creo que son zapatillas para el agua, pues hay algunos lugares con rocas, y llevar snorkel, les aconsejo llevar algun snack …"|"5"|"2019"
"Puerto Ayora"|"Formaciones geologicas‎"|"Las Grietas"|"El lugar es 1000/100 Existen dos opciones para llegar, una que contratas visitarlo con un ""guia"" desde $40,00.dolares por persona y estas con el tiempo de ellos u otra que en el Muelle coges un taxi lancha que siempre estan disponibles en $0.80 centavos de dolar por persona y te …"|"5"|"2019"
