"Destino"|"Categoria"|"Atraccion"|"Comentario"|"Calificacion"|"Anio"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Hay q ir en carros que suba en terreno medio. Seria interesante q exista mas promocion y sobre todo que existan salidas desde la ciudad de Cuenca"|"5"|"2019"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"muy buena opcion para amantes de la naturaleza , animales rescatados de cautiverio con amplias instalaciones, llevar zapatos comodos, muy comodos caminata larga, bloqueador solar indispensable, gorra y chaqueta para viento.."|"5"|"2019"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"El zoologico me encanto y mas al saber que algunos animales habian sido rescatados. Tambien hacen una labor de investigacion muy importante. Hay que estar en buen estado fisico porque esta en una montania con acceso dificil en camino de tierra"|"4"|"2019"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Los animales parecen viejos y abandonados, el lugar esta como olvidado, los caminos labrados en la pared, las jaulas oxidadas. No me parece que tengan medios para mantenerlo. Deberian esforzarse mas por hacer publicidad ya que no llega mucha gente y eso que es sabado!"|"5"|"2019"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"El lugar supero totalmente mis expectativas por la forma en que cuidan a los animales y educan a las personas. Al principio no parece un Bioparque grande, pero mas o menos te demoras 4 horas en recorrerlo completo... De lo mejor que tiene Cuenca."|"5"|"2019"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"La idea de este estilo de parque, es de grandes, lo natural que es me asombra, me encanta, para mi es sinonimo de sustentabilidad y sostenibilidad. Definitivamente perfecto para ir con los ninios"|"5"|"2019"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Fuimos con mis hijos y sobrinos es un lugar espectacular donde podemos apreciar la flora y fauna del pais. Hay animales de varias regiones adaptadas al clima de Cuenca. El recorrido es largo y el terreno es de tierra y lodo. Pero vale la pena ir. Personas que lo pueden agitarse …"|"5"|"2019"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Tienen una gran variedad de animales, les hna hecho con bastante espacio como para que se puedan mover y esten comodos. Pero el problema es que esta en la montania, a varias alturas y la caminata no es apta para cualquier persona. No lo recomiendo para ninios pequenios ni mayores …"|"4"|"2018"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Lo majestuoso de la fauna Visitar la ciudad de Cuenca que es un paraiso ya es un privilegio. Es importante estar en contacto con entidades que lucha por la preservacion de la naturaleza, y una de estas entidades es el zoologico “AMARU” que esta ubicado en el perimetro urbano de …"|"5"|"2018"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Un zoologico a las afueras de Cuenca adecuado a la naturaleza sin daniar el medio ambiente. Caminas entre las montanias y te vas encontrando las jaulas como por arte de magia lo que lo hace unico a nivel nacional. Animales de todas las clases . No te lo puedes perder"|"5"|"2018"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"linda visita familiar..buenos senderos bien documentados muy recomendable, llevar gafas y protector solar"|"5"|"2016"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Un lugar impresionante en el cual podras encontrar una gran variedad de animalitos, hermoso para disfrutar en familia y amigos, recorrer el zoologico nos tomo 3 horas nos divertimos un monton., la gente es muy amable muy buena atencion."|"5"|"2017"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Es una experiencia muy linda, el precio algo elevado, pero vale la pena si te gustan los aninales y la naturaleza, hay que caminar bastante y sobre todo subidas y bajadas en la montania, asi que unos buenos zapatos. Se pueden apreciar bastantes especies animales, muy recomendado …"|"5"|"2017"
"Cuenca"|"Zoologicos‎"|"AMARU Bioparque Cuenca Zoologico"|"Excelente zoologico y centro de rescate. Muchas especies en espacios amplios. Exhibiciones sobre osos, aguila y leones africanos."|"5"|"2016"
